index,unit1_rgb,unit1_pwr_60ghz,unit1_loc,unit2_loc,,unit1_beam_index,seq_index,time_stamp[UTC],unit2_direction,unit2_num_sat,unit2_sat_used,unit2_fix_type,unit2_DGPS,unit2_PDOP,unit2_HDOP
1,./unit1/camera_data/image_BS1_456_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_0.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_0.txt,,2,1,['00-42-15-0'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.5,0.8
2,./unit1/camera_data/image_BS1_457_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_1.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_1.txt,,2,1,['00-42-15-125'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
3,./unit1/camera_data/image_BS1_458_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_2.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_2.txt,,2,1,['00-42-15-250'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
4,./unit1/camera_data/image_BS1_459_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_3.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_3.txt,,2,1,['00-42-15-375'],0,22,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30 B11 B12 B24 B25 B26,3D,Yes,1.4,0.7
5,./unit1/camera_data/image_BS1_460_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_4.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_4.txt,,2,1,['00-42-15-500'],0,22,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30 B11 B12 B24 B25 B26,3D,Yes,1.4,0.7
6,./unit1/camera_data/image_BS1_461_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_5.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_5.txt,,2,1,['00-42-15-625'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.4,0.7
7,./unit1/camera_data/image_BS1_462_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_6.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_6.txt,,2,1,['00-42-15-750'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.4,0.7
8,./unit1/camera_data/image_BS1_463_00_42_15.jpg,./unit1/mmWave_data/mmWave_power_7.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_7.txt,,2,1,['00-42-15-875'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.4,0.7
9,./unit1/camera_data/image_BS1_464_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_8.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_8.txt,,3,1,['00-42-16-0'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
10,./unit1/camera_data/image_BS1_465_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_9.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_9.txt,,3,1,['00-42-16-111'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.8
11,./unit1/camera_data/image_BS1_466_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_10.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_10.txt,,3,1,['00-42-16-222'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
12,./unit1/camera_data/image_BS1_467_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_11.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_11.txt,,3,1,['00-42-16-333'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
13,./unit1/camera_data/image_BS1_468_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_12.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_12.txt,,3,1,['00-42-16-444'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
14,./unit1/camera_data/image_BS1_469_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_13.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_13.txt,,4,1,['00-42-16-555'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.4,0.7
15,./unit1/camera_data/image_BS1_470_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_14.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_14.txt,,5,1,['00-42-16-666'],0,7,G2 G6 G12 G17 G19 G24 G28,3D,Yes,1.4,0.7
16,./unit1/camera_data/image_BS1_471_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_15.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_15.txt,,6,1,['00-42-16-777'],0,7,G2 G6 G12 G17 G19 G24 G28,3D,Yes,1.3,0.7
17,./unit1/camera_data/image_BS1_472_00_42_16.jpg,./unit1/mmWave_data/mmWave_power_16.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_16.txt,,6,1,['00-42-16-888'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
18,./unit1/camera_data/image_BS1_473_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_17.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_17.txt,,6,1,['00-42-17-0'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
19,./unit1/camera_data/image_BS1_474_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_18.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_18.txt,,6,1,['00-42-17-111'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
20,./unit1/camera_data/image_BS1_475_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_19.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_19.txt,,6,1,['00-42-17-222'],0,22,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30 B11 B12 B24 B25 B26,3D,Yes,1.3,0.7
21,./unit1/camera_data/image_BS1_476_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_20.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_20.txt,,7,1,['00-42-17-333'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
22,./unit1/camera_data/image_BS1_477_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_21.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_21.txt,,7,1,['00-42-17-444'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
23,./unit1/camera_data/image_BS1_478_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_22.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_22.txt,,10,1,['00-42-17-555'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
24,./unit1/camera_data/image_BS1_479_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_23.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_23.txt,,8,1,['00-42-17-666'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
25,./unit1/camera_data/image_BS1_480_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_24.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_24.txt,,10,1,['00-42-17-777'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
26,./unit1/camera_data/image_BS1_481_00_42_17.jpg,./unit1/mmWave_data/mmWave_power_25.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_25.txt,,10,1,['00-42-17-888'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
27,./unit1/camera_data/image_BS1_482_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_26.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_26.txt,,10,1,['00-42-18-0'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
28,./unit1/camera_data/image_BS1_483_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_27.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_27.txt,,11,1,['00-42-18-111'],0,22,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30 B11 B12 B24 B25 B26,3D,Yes,1.3,0.7
29,./unit1/camera_data/image_BS1_484_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_28.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_28.txt,,11,1,['00-42-18-222'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
30,./unit1/camera_data/image_BS1_485_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_29.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_29.txt,,13,1,['00-42-18-333'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
31,./unit1/camera_data/image_BS1_486_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_30.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_30.txt,,13,1,['00-42-18-444'],0,7,G2 G6 G12 G17 G19 G24 G28,3D,Yes,1.3,0.7
32,./unit1/camera_data/image_BS1_487_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_31.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_31.txt,,13,1,['00-42-18-555'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
33,./unit1/camera_data/image_BS1_488_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_32.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_32.txt,,13,1,['00-42-18-666'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
34,./unit1/camera_data/image_BS1_489_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_33.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_33.txt,,14,1,['00-42-18-777'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
35,./unit1/camera_data/image_BS1_490_00_42_18.jpg,./unit1/mmWave_data/mmWave_power_34.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_34.txt,,14,1,['00-42-18-888'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
36,./unit1/camera_data/image_BS1_491_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_35.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_35.txt,,16,1,['00-42-19-0'],0,22,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30 B11 B12 B24 B25 B26,3D,Yes,1.3,0.7
37,./unit1/camera_data/image_BS1_492_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_36.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_36.txt,,16,1,['00-42-19-111'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
38,./unit1/camera_data/image_BS1_493_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_37.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_37.txt,,16,1,['00-42-19-222'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
39,./unit1/camera_data/image_BS1_494_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_38.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_38.txt,,16,1,['00-42-19-333'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
40,./unit1/camera_data/image_BS1_495_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_39.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_39.txt,,17,1,['00-42-19-444'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
41,./unit1/camera_data/image_BS1_496_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_40.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_40.txt,,17,1,['00-42-19-555'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
42,./unit1/camera_data/image_BS1_497_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_41.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_41.txt,,17,1,['00-42-19-666'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
43,./unit1/camera_data/image_BS1_498_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_42.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_42.txt,,17,1,['00-42-19-777'],0,7,G2 G6 G12 G17 G19 G24 G28,3D,Yes,1.3,0.7
44,./unit1/camera_data/image_BS1_499_00_42_19.jpg,./unit1/mmWave_data/mmWave_power_43.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_43.txt,,18,1,['00-42-19-888'],0,22,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30 B11 B12 B24 B25 B26,3D,Yes,1.3,0.7
45,./unit1/camera_data/image_BS1_500_00_42_20.jpg,./unit1/mmWave_data/mmWave_power_44.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_44.txt,,19,1,['00-42-20-0'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
46,./unit1/camera_data/image_BS1_501_00_42_20.jpg,./unit1/mmWave_data/mmWave_power_45.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_45.txt,,20,1,['00-42-20-111'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
47,./unit1/camera_data/image_BS1_502_00_42_20.jpg,./unit1/mmWave_data/mmWave_power_46.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_46.txt,,20,1,['00-42-20-222'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
48,./unit1/camera_data/image_BS1_503_00_42_20.jpg,./unit1/mmWave_data/mmWave_power_47.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_47.txt,,20,1,['00-42-20-333'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
49,./unit1/camera_data/image_BS1_504_00_42_20.jpg,./unit1/mmWave_data/mmWave_power_48.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_48.txt,,20,1,['00-42-20-444'],0,12,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24,3D,Yes,1.3,0.7
50,./unit1/camera_data/image_BS1_505_00_42_20.jpg,./unit1/mmWave_data/mmWave_power_49.txt,./unit1/GPS_data/gps_location.txt,./unit2/GPS_data/gps_location_49.txt,,20,1,['00-42-20-555'],0,17,G2 G6 G12 G17 G19 G24 G28 R12 R13 R22 R23 R24 E13 E15 E21 E27 E30,3D,Yes,1.3,0.7
