time,split,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb
1636553178.0,train,2.0,0.0037,215.513,210.678,213.1,213.1,214.159,214.159,214.159,214.159,194.402,10.0,2048.0,217.821184
1636553191.0,train,2.0,0.0037,314.733,304.027,308.525,308.525,309.958,310.981,310.981,310.981,301.621,20.0,2048.0,217.821184
1636553204.0,train,2.0,0.052663,481.993,465.392,475.688,476.531,478.613,478.834,480.902,480.902,465.659,30.0,2048.0,217.821184
1636553217.0,train,2.0,0.120889,889.625,863.232,871.812,874.362,884.286,885.768,887.802,887.802,862.765,50.0,2048.0,305.606656
1636553230.0,train,2.0,0.120889,979.635,927.03,956.987,958.417,971.579,976.495,978.193,978.334,930.602,60.0,2048.0,356.622336
1636553243.0,train,2.0,0.249958,1162.252,1100.366,1133.929,1136.912,1142.426,1158.717,1160.431,1160.482,1089.852,70.0,2048.0,412.884992
1636553256.0,train,2.0,0.249958,1187.393,1125.48,1161.466,1163.293,1170.952,1174.216,1177.061,1186.484,1123.452,80.0,2048.0,417.267712
1636553269.0,train,2.0,0.399306,2538.04,2459.078,2502.407,2511.058,2521.22,2531.593,2535.056,2536.014,2462.652,90.0,2048.0,421.892096
1636553282.0,train,2.0,0.240794,1450.452,1383.786,1421.989,1423.44,1442.011,1442.953,1450.17,1450.447,1386.847,100.0,2048.0,421.892096
1636553295.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553308.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553321.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553334.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553347.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553360.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553373.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553386.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553399.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553412.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553425.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
1636553438.0,train,0.5,0.0,181.61292,175.87784,178.9806,178.9806,180.09588,180.09588,180.09588,180.09588,175.73288,10.0,256.0,217.821184
