time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,mean_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1636553178.0,2.0,0.0037,10.0,2048.0,217.821184,194.402,210.678,213.1,213.1,214.159,214.159,214.159,214.159,215.513,0.0,-0.5236142201106393,-0.8519554850448039,0.0,0.0,0.0
1636553191.0,2.0,0.0037,20.0,2048.0,217.821184,301.621,304.027,308.525,308.525,309.958,310.981,310.981,310.981,314.733,8.977708350166536e-06,-0.5244194133793777,-0.8514600864813507,0.0,0.0,0.0
1636553204.0,2.0,0.052663,30.0,2048.0,217.821184,465.659,465.392,475.688,476.531,478.613,478.834,480.902,480.902,481.993,1.7955416700333073e-05,-0.5252241379203859,-0.8509639269356766,0.0,0.0,0.0
1636553217.0,2.0,0.120889,50.0,2048.0,305.606656,862.765,863.232,871.812,874.362,884.286,885.768,887.802,887.802,889.625,2.693312505049961e-05,-0.5260283930516074,-0.8504670068283329,0.0,0.0,0.0
1636553230.0,2.0,0.120889,60.0,2048.0,356.622336,930.602,927.03,956.987,958.417,971.579,976.495,978.193,978.334,979.635,3.5910833400666146e-05,-0.5268321780294757,-0.8499693266187427,0.0,0.0,0.0
1636553243.0,2.0,0.249958,70.0,2048.0,412.884992,1089.852,1100.366,1133.929,1136.912,1142.426,1158.717,1160.431,1160.482,1162.252,4.4888541750832686e-05,-0.527635492172709,-0.8494708867287113,0.0,0.0,0.0
1636553256.0,2.0,0.249958,80.0,2048.0,417.267712,1123.452,1125.48,1161.466,1163.293,1170.952,1174.216,1177.061,1186.484,1187.393,5.386625010099922e-05,-0.5284383347138805,-0.8489716876344116,0.0,0.0,0.0
1636553269.0,2.0,0.399306,90.0,2048.0,421.892096,2462.652,2459.078,2502.407,2511.058,2521.22,2531.593,2535.056,2536.014,2538.04,6.284395845116576e-05,-0.5292407049725291,-0.8484717297589711,0.0,0.0,0.0
1636553282.0,2.0,0.240794,100.0,2048.0,421.892096,1386.847,1383.786,1421.989,1423.44,1442.011,1442.953,1450.17,1450.447,1450.452,7.182166680133229e-05,-0.5300426022068306,-0.8479710135646216,0.0,0.0,0.0
1636553295.0,2.0,0.22512107,94.0,1979.7333,423.6408,1306.5681,1303.8047,1339.5698,1340.9242,1358.2964,1359.1757,1365.9115,1366.17,1366.208,8.079937515149882e-05,-0.5308440257371035,-0.8474695394757416,1.0,1.0,14.0
1636553308.0,2.0,0.20944813,88.0,1911.4667,425.38953,1226.2892,1223.8235,1257.1508,1258.4084,1274.5818,1275.3982,1281.653,1281.893,1281.9636,8.977708350166537e-05,-0.5316449748100519,-0.8469673079636658,1.0,2.0,13.0
1636553321.0,2.0,0.1937752,82.0,1843.2,427.13824,1146.0103,1143.8422,1174.7317,1175.8925,1190.8673,1191.6208,1197.3944,1197.616,1197.7197,9.87547918518319e-05,-0.5324454487098449,-0.8464643194773019,1.0,3.0,12.0
1636553334.0,2.0,0.17810228,76.0,1774.9333,428.88696,1065.7313,1063.861,1092.3125,1093.3766,1107.1527,1107.8434,1113.1359,1113.339,1113.4755,0.0001077325002019,-0.5332454467580071,-0.8459605744429545,1.0,4.0,11.0
1636553347.0,2.0,0.16242933,70.0,1706.6666,430.63568,985.4524,983.87964,1009.8932,1010.8606,1023.438,1024.066,1028.8773,1029.0621,1029.2313,0.0001167102085521,-0.5340449681902795,-0.845456073341864,1.0,5.0,10.0
