time,split,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb
1636553178.0,train,2.0,0.0037,215.513,210.678,213.1,213.1,214.159,214.159,214.159,214.159,194.402,10.0,2048.0,217.821184
1636553191.0,train,2.0,0.0037,314.733,304.027,308.525,308.525,309.958,310.981,310.981,310.981,301.621,20.0,2048.0,217.821184
1636553204.0,train,2.0,0.052663,481.993,465.392,475.688,476.531,478.613,478.834,480.902,480.902,465.659,30.0,2048.0,217.821184
1636553217.0,train,2.0,0.120889,889.625,863.232,871.812,874.362,884.286,885.768,887.802,887.802,862.765,50.0,2048.0,305.606656
1636553230.0,train,2.0,0.120889,979.635,927.03,956.987,958.417,971.579,976.495,978.193,978.334,930.602,60.0,2048.0,356.622336
1636553243.0,train,2.0,0.249958,1162.252,1100.366,1133.929,1136.912,1142.426,1158.717,1160.431,1160.482,1089.852,70.0,2048.0,412.884992
1636553256.0,train,2.0,0.249958,1187.393,1125.48,1161.466,1163.293,1170.952,1174.216,1177.061,1186.484,1123.452,80.0,2048.0,417.267712
1636553269.0,train,2.0,0.399306,2538.04,2459.078,2502.407,2511.058,2521.22,2531.593,2535.056,2536.014,2462.652,90.0,2048.0,421.892096
1636553282.0,train,2.0,0.240794,1450.452,1383.786,1421.989,1423.44,1442.011,1442.953,1450.17,1450.447,1386.847,100.0,2048.0,421.892096
1636553295.0,train,2.0,0.22512107,1366.208,1303.8047,1339.5698,1340.9242,1358.2964,1359.1757,1365.9115,1366.17,1306.5681,94.0,1979.7333,423.6408
1636553308.0,train,2.0,0.20944813,1281.9636,1223.8235,1257.1508,1258.4084,1274.5818,1275.3982,1281.653,1281.893,1226.2892,88.0,1911.4667,425.38953
1636553321.0,train,2.0,0.1937752,1197.7197,1143.8422,1174.7317,1175.8925,1190.8673,1191.6208,1197.3944,1197.616,1146.0103,82.0,1843.2,427.13824
1636553334.0,train,2.0,0.17810228,1113.4755,1063.861,1092.3125,1093.3766,1107.1527,1107.8434,1113.1359,1113.339,1065.7313,76.0,1774.9333,428.88696
1636553347.0,train,2.0,0.16242933,1029.2313,983.87964,1009.8932,1010.8606,1023.438,1024.066,1028.8773,1029.0621,985.4524,70.0,1706.6666,430.63568
1636553360.0,train,2.0,0.14675638,944.9873,903.89844,927.4741,928.3447,939.7234,940.2886,944.6188,944.7849,905.17334,64.0,1638.4,432.3844
1636553373.0,train,2.0,0.13108346,860.74304,823.9171,845.05505,845.82886,856.0088,856.5112,860.3602,860.50806,824.89453,58.000004,1570.1333,434.13312
1636553386.0,train,2.0,0.11541054,776.499,743.9358,762.636,763.313,772.2942,772.7339,776.1018,776.23096,744.6155,52.0,1501.8667,435.88184
1636553399.0,train,2.0,0.099737614,692.255,663.9546,680.2168,680.7971,688.5796,688.9563,691.84326,691.954,664.3367,46.0,1433.5999,437.63055
1636553412.0,train,2.0,0.08406466,608.0106,583.9734,597.7976,598.28125,604.865,605.17883,607.5846,607.677,584.0576,40.0,1365.3334,439.37927
1636553425.0,train,2.0,0.06839174,523.7666,503.9922,515.37854,515.7654,521.1504,521.4016,523.3263,523.4,503.7788,34.000008,1297.0667,441.128
