method,MAE,RMSE,n_cells
"wavestitchplus_v2(tau=8,hp=32)",1435.2355557624805,4856.643307807998,10458
darts_slinear,1436.2990076838164,4856.602414419666,10458
darts_auto,1436.2990076838166,4856.602414419666,10458
darts_linear,1436.2990076838166,4856.602414419666,10458
imputegap_interpolation,1436.2990076838166,4856.602414419666,10458
darts_quadratic,1637.3094463496445,4901.252810056491,10458
darts_cubic,1717.983085018417,4972.111773592196,10458
darts_nearest,1731.2032163210938,5408.0406424873645,10458
darts_zero,4695.75246548298,15750.583344003539,10458
wavestitchplus_harpoon,7777.032069605464,17257.51887877916,10458
wavestitchplus_v1,8821.477386280983,20169.741436398315,10458
imputegap_min,9409.838544486134,21176.2813228643,10458
imputegap_zero,9544.487375914707,21251.934746896615,10458
imputegap_mean_by_series,10559.620166936853,17787.90980491109,10458
imputegap_mean,10559.620166936853,17787.90980491109,10458
