time,cpu_limit,cpu_usage,n,c,ram_limit_mb,ram_usage_mb,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1635266086,0.5,0.0,100,1,500.0,36.347904,93.0,98.0,101.0,102.0,106.0,112.0,165.0,181.0,181.0,0.0,-0.9316383849799234,-0.3633867356302375,0.0,0.0,0.0
1635266105,0.5,0.0,100,11,500.0,39.50592,1038.0,1116.0,1205.0,1239.0,1394.0,1527.0,1890.0,1910.0,1910.0,1.5292548054015211e-06,-0.9321395938509396,-0.3620991267255489,0.0,0.0,0.0
1635266127,0.5,0.02912,100,21,500.0,41.988096,2315.0,2566.0,2661.0,2725.0,3189.0,3839.0,4685.0,5096.0,5096.0,3.2999708958664403e-06,-0.9327177176557678,-0.3606073476386961,0.0,0.0,0.0
1635266150,0.5,0.052645,100,31,500.0,41.988096,3692.0,4062.0,4307.0,4717.0,5700.0,5885.0,6709.0,7010.0,7010.0,5.151174081352492e-06,-0.9333195671306588,-0.3590467735700176,0.0,0.0,0.0
1635266173,0.5,0.083737,100,41,500.0,45.21984,4738.0,5124.0,5499.0,5688.0,6263.0,6663.0,7038.0,7499.0,7499.0,7.002377266838544e-06,-0.9339188055322604,-0.3574851950405721,0.0,0.0,0.0
1635266193,0.5,0.083737,100,51,500.0,47.726592,5010.0,5106.0,5131.0,5174.0,5386.0,5469.0,5907.0,5924.0,5924.0,8.612119167261198e-06,-0.934437758681549,-0.3561264875717659,0.0,0.0,0.0
1635266216,0.5,0.109957,100,61,500.0,54.337536,6538.0,7036.0,7132.0,7134.0,8509.0,10140.0,12950.0,13044.0,13044.0,1.0463322352747247e-05,-0.9350321110402504,-0.3545630428056665,0.0,0.0,0.0
1635266239,0.5,0.140391,100,71,500.0,54.337536,7756.0,7768.0,9762.0,9763.0,10763.0,11676.0,11978.0,12571.0,12571.0,1.2314525538233302e-05,-0.935623847529508,-0.3529986061361716,0.0,0.0,0.0
1635266263,0.5,0.167361,100,81,500.0,57.245696,8558.0,10141.0,10243.0,10560.0,11943.0,12252.0,12560.0,13347.0,13347.0,1.4246215818740489e-05,-0.9362385209791456,-0.3513650976331907,0.0,0.0,0.0
1635266286,0.5,0.167361,100,91,500.0,57.724928,10231.0,10937.0,11462.0,11842.0,12350.0,12845.0,13142.0,13242.0,13242.0,1.609741900422654e-05,-0.9368249068772684,-0.3497986475880051,0.0,0.0,0.0
1635266315,0.5,0.19606,200,1,500.0,58.32704,96.0,99.0,102.0,103.0,108.0,114.0,163.0,164.0,165.0,1.8431544759839388e-05,-0.9375605271983548,-0.3478221641004825,0.0,0.0,0.0
1635266344,0.5,0.22534,200,11,500.0,58.626048,1051.0,1057.0,1064.0,1067.0,1074.0,1079.0,1079.0,1080.0,1083.0,2.0765670515452235e-05,-0.9382919775974876,-0.345844133644328,0.0,0.0,0.0
1635266379,0.5,0.257742,200,21,500.0,58.626048,2521.0,2893.0,3031.0,3176.0,3518.0,3904.0,4327.0,4468.0,4636.0,2.358271884119188e-05,-0.9391692046586172,-0.3434548078290652,0.0,0.0,0.0
1635266416,0.5,0.282661,200,31,500.0,55.427072,3894.0,4313.0,4618.0,4732.0,5261.0,5718.0,6690.0,7108.0,7702.0,2.656074135697379e-05,-0.940089943094382,-0.3409265300512731,0.0,0.0,0.0
1635266453,0.5,0.282094,200,41,500.0,53.506048,5390.0,5786.0,6202.0,6487.0,7282.0,7991.0,8647.0,8892.0,9532.0,2.95387638727557e-05,-0.9410038753378904,-0.338395783955817,0.0,0.0,0.0
1635266487,0.5,0.322815,200,51,500.0,54.976512,5391.0,6010.0,6272.0,6484.0,7784.0,8123.0,8914.0,10600.0,12478.0,3.227532510347421e-05,-0.941837698487961,-0.3360680730252439,0.0,0.0,0.0
1635266524,0.5,0.307077,200,61,500.0,56.05376,7511.0,8494.0,9115.0,9440.0,9857.0,10595.0,12560.0,13097.0,13785.0,3.525334761925612e-05,-0.9427385516829044,-0.3335326418370766,0.0,0.0,0.0
1635266562,0.5,0.347192,200,71,500.0,57.520128,9339.0,10345.0,11293.0,11601.0,12956.0,13854.0,16693.0,17684.0,17953.0,3.831185723005916e-05,-0.9436566476333884,-0.3309261720947972,0.0,0.0,0.0
1635266603,0.5,0.352716,200,81,500.0,59.072512,10420.0,11804.0,13878.0,14614.0,18518.0,20309.0,22009.0,28961.0,29966.0,4.16118281259256e-05,-0.9446391424812516,-0.3281110947412255,0.0,0.0,0.0
1635266647,0.5,0.36411,200,91,500.0,61.841408,13235.0,15848.0,17733.0,18469.0,22091.0,24838.0,28229.0,30139.0,31650.0,4.515326030685544e-05,-0.9456841849685362,-0.325086791950081,0.0,0.0,0.0
1635266689,0.5,0.37759,200,101,500.0,63.05792,12471.0,16658.0,18271.0,19266.0,21141.0,26035.0,30039.0,31250.0,31752.0,4.853371829774301e-05,-0.9466726934323,-0.3221968521100645,0.0,0.0,0.0
1635266725,0.5,0.376833,300,1,500.0,63.234048,92.0,96.0,98.0,100.0,105.0,109.0,114.0,156.0,171.0,5.143125371850379e-05,-0.9475129576635788,-0.3197173674663565,0.0,0.0,0.0
1635266765,0.5,0.383294,300,11,500.0,63.234048,1102.0,1106.0,1113.0,1115.0,1141.0,1157.0,1165.0,1165.0,1175.0,5.46507375193491e-05,-0.948438967742942,-0.3169598152237957,0.0,0.0,0.0
