method,MAE,RMSE,n_cells
darts_auto,568.4593213047572,2210.32514554348,11655
darts_linear,568.4593213047572,2210.32514554348,11655
darts_slinear,568.4593213047572,2210.32514554348,11655
imputegap_interpolation,568.4593213047572,2210.32514554348,11655
"wavestitchplus_v2(tau=8,hp=32)",580.8584203791354,2252.3078041610343,11655
darts_nearest,599.5269841842985,2453.229936810323,11655
darts_zero,795.0591131692836,2637.0285793586727,11655
wavestitchplus_harpoon,1353.0818775708794,2950.5968502061464,11655
imputegap_mean_by_series,1384.1788608694399,3250.8841510819702,11655
imputegap_mean,1384.1788608694399,3250.8841510819702,11655
darts_quadratic,1500.6990160962985,9409.969899783062,11655
wavestitchplus_v1,1591.6605831356999,3366.4782245883266,11655
darts_cubic,1635.8216319683966,10241.443021756151,11655
imputegap_min,2248.9180971406263,4309.9475968713505,11655
imputegap_zero,2285.360456607293,4329.634897148261,11655
