gap_len,method,depth_bucket,depth_lo,MAE
4,nearest,d1-1,1,5759.419592244048
4,nearest,d2-4,2,7611.91324312462
4,nearest,d5-8,5,
4,nearest,d9-16,9,
4,nearest,d17-+,17,
4,linear,d1-1,1,7177.753098561723
4,linear,d2-4,2,8872.515278466848
4,linear,d5-8,5,
4,linear,d9-16,9,
4,linear,d17-+,17,
4,wsp_v1,d1-1,1,24522.57720493054
4,wsp_v1,d2-4,2,24044.55156921394
4,wsp_v1,d5-8,5,
4,wsp_v1,d9-16,9,
4,wsp_v1,d17-+,17,
4,wsp_v2,d1-1,1,5759.419592244048
4,wsp_v2,d2-4,2,7611.91324312462
4,wsp_v2,d5-8,5,
4,wsp_v2,d9-16,9,
4,wsp_v2,d17-+,17,
8,nearest,d1-1,1,6115.786755906438
8,nearest,d2-4,2,10330.530192023669
8,nearest,d5-8,5,
8,nearest,d9-16,9,
8,nearest,d17-+,17,
8,linear,d1-1,1,7207.796101030673
8,linear,d2-4,2,11500.615136375522
8,linear,d5-8,5,
8,linear,d9-16,9,
8,linear,d17-+,17,
8,wsp_v1,d1-1,1,25541.988642430937
8,wsp_v1,d2-4,2,27170.595272560127
8,wsp_v1,d5-8,5,
8,wsp_v1,d9-16,9,
8,wsp_v1,d17-+,17,
8,wsp_v2,d1-1,1,6115.786755906438
8,wsp_v2,d2-4,2,10330.530192023669
8,wsp_v2,d5-8,5,
8,wsp_v2,d9-16,9,
8,wsp_v2,d17-+,17,
16,nearest,d1-1,1,2620.4112344841906
16,nearest,d2-4,2,10833.331725079439
16,nearest,d5-8,5,19552.65795196113
16,nearest,d9-16,9,
16,nearest,d17-+,17,
16,linear,d1-1,1,3793.3274501657324
16,linear,d2-4,2,12482.730125225431
16,linear,d5-8,5,15903.201408238101
16,linear,d9-16,9,
16,linear,d17-+,17,
16,wsp_v1,d1-1,1,23810.95874231829
16,wsp_v1,d2-4,2,25798.68891667487
16,wsp_v1,d5-8,5,25147.067132256194
16,wsp_v1,d9-16,9,
16,wsp_v1,d17-+,17,
16,wsp_v2,d1-1,1,2620.4112344841906
16,wsp_v2,d2-4,2,10833.331725079439
16,wsp_v2,d5-8,5,19552.65795196113
16,wsp_v2,d9-16,9,
16,wsp_v2,d17-+,17,
32,nearest,d1-1,1,2834.2675601333335
32,nearest,d2-4,2,10534.919100656649
32,nearest,d5-8,5,19180.121171381925
32,nearest,d9-16,9,25101.40771762342
32,nearest,d17-+,17,
32,linear,d1-1,1,3326.8014179367074
32,linear,d2-4,2,11379.693282470978
32,linear,d5-8,5,18788.394794404645
32,linear,d9-16,9,21941.72952681565
32,linear,d17-+,17,
32,wsp_v1,d1-1,1,25674.843377626952
32,wsp_v1,d2-4,2,30484.910971445275
32,wsp_v1,d5-8,5,25333.729859641073
32,wsp_v1,d9-16,9,18855.111798932074
32,wsp_v1,d17-+,17,
32,wsp_v2,d1-1,1,2834.2675601333335
32,wsp_v2,d2-4,2,10534.919100656649
32,wsp_v2,d5-8,5,19180.121171381925
32,wsp_v2,d9-16,9,18098.04814293823
32,wsp_v2,d17-+,17,
64,nearest,d1-1,1,855.6222484609524
64,nearest,d2-4,2,9206.839801422668
64,nearest,d5-8,5,19603.338138212333
64,nearest,d9-16,9,26790.41417600726
64,nearest,d17-+,17,32261.139640578996
64,linear,d1-1,1,1088.3930032084102
64,linear,d2-4,2,9529.193920755173
64,linear,d5-8,5,18448.10270493748
64,linear,d9-16,9,23454.337008252758
64,linear,d17-+,17,24598.060338915733
64,wsp_v1,d1-1,1,24404.265084671417
64,wsp_v1,d2-4,2,26238.78776438796
64,wsp_v1,d5-8,5,25252.80556897948
64,wsp_v1,d9-16,9,26183.975869022037
64,wsp_v1,d17-+,17,25356.92994153569
64,wsp_v2,d1-1,1,855.6222484609524
64,wsp_v2,d2-4,2,9206.839801422668
64,wsp_v2,d5-8,5,19603.338138212333
64,wsp_v2,d9-16,9,22400.143472802476
64,wsp_v2,d17-+,17,23650.36661494896
