gap_len,method,MAE,RMSE,n_cells
4,nearest,6685.666417684333,30180.7051841684,8400
4,linear,8025.1341885142865,26875.69029074476,8400
4,wsp_v1,24283.564387072238,50067.59754290525,8400
4,wsp_v2,6685.666417684333,30180.7051841684,8400
8,nearest,9275.712554413232,40009.984261018064,13965
8,linear,10426.257633437444,36803.80648546251,13965
8,wsp_v1,26763.00628779096,54994.2491742377,13965
8,wsp_v2,9275.712554413232,40009.984261018064,13965
16,nearest,14153.324533721367,40086.56523703784,20925
16,linear,13099.219404681611,35625.85181160636,20925
16,wsp_v1,25224.221861142396,51075.613279169695,20925
16,wsp_v2,14153.324533721367,40086.56523703784,20925
32,nearest,19479.56620507863,44973.507220631334,27885
32,linear,17994.550080824156,41354.26666155832,27885
32,wsp_v1,23090.94670224348,46151.95784548022,27885
32,wsp_v2,15983.537326483765,38512.83266018671,27885
64,nearest,26168.470058215637,48780.77143621452,33600
64,linear,21396.001471059306,42074.034935849406,33600
64,wsp_v1,25603.579270953145,51781.758367402945,33600
64,wsp_v2,20765.51586959942,43968.82854487358,33600
