time,split,c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb
1636467153,train,1.0,0.5,0.064585,167.0,97.0,101.0,103.0,104.0,107.0,114.0,119.0,167.0,100.0,75.0,43.921408
1636467174,train,11.0,0.5,0.0,1284.0,1234.0,1249.0,1252.0,1253.0,1270.0,1283.0,1283.0,1284.0,100.0,75.0,43.921408
1636467195,train,21.0,0.5,0.0,2332.0,2261.0,2296.0,2299.0,2300.0,2305.0,2316.0,2325.0,2332.0,100.0,75.0,43.921408
1636467216,train,31.0,0.5,0.0,3941.0,3493.0,3499.0,3502.0,3531.0,3613.0,3636.0,3926.0,3941.0,100.0,75.0,43.921408
1636467237,train,41.0,0.5,0.0,6218.0,4738.0,4810.0,4872.0,4904.0,4957.0,5130.0,5566.0,6218.0,100.0,75.0,43.921408
1636467259,train,51.0,0.5,0.0,9337.0,5505.0,6173.0,6311.0,6515.0,6901.0,7307.0,8028.0,9337.0,100.0,75.0,43.921408
1636467286,train,61.0,0.5,0.0,16158.0,8374.0,9575.0,10286.0,11015.0,12958.0,15066.0,15767.0,16158.0,100.0,75.0,43.921408
1636467309,train,71.0,0.5,0.0,9889.0,7300.0,7660.0,7851.0,7949.0,8652.0,8756.0,9269.0,9889.0,100.0,75.0,43.921408
1636467334,train,81.0,0.5,0.0,15048.0,9567.0,9951.0,10868.0,12057.0,13862.0,14549.0,15043.0,15048.0,100.0,75.0,43.921408
1636467360,train,91.0,0.5,0.0,15937.0,11158.0,13135.0,13660.0,13940.0,15251.0,15556.0,15937.0,15937.0,100.0,75.0,43.921408
1636467387,train,1.0,0.5,0.0,160.0,94.0,97.0,99.0,100.0,104.0,108.0,112.0,157.0,200.0,75.0,43.921408
1636467418,train,11.0,0.5,0.0,1239.0,1182.0,1192.0,1196.0,1197.0,1214.0,1224.0,1225.0,1228.0,200.0,75.0,0.0
1636467457,train,21.0,0.5,0.0,4922.0,2862.0,3188.0,3353.0,3508.0,3975.0,4278.0,4685.0,4795.0,200.0,75.0,0.0
1636467494,train,31.0,0.5,0.0,6790.0,3896.0,4310.0,4651.0,4809.0,5297.0,5597.0,5997.0,6620.0,200.0,75.0,0.0
1636467526,train,41.0,0.5,0.0,5163.0,4537.0,4646.0,4660.0,4664.0,4670.0,4674.0,4722.0,4876.0,200.0,75.0,0.0
1636467564,train,51.0,0.5,0.0,15182.0,6793.0,7585.0,8077.0,8388.0,9300.0,10058.0,10912.0,11679.0,200.0,75.0,0.0
1636467600,train,61.0,0.5,0.0,12733.0,6418.0,7528.0,8140.0,8613.0,9808.0,11109.0,12153.0,12245.0,200.0,75.0,0.0
1636467638,train,71.0,0.5,0.0,21277.0,8245.0,10050.0,11712.0,12587.0,14407.0,16911.0,20178.0,21122.0,200.0,75.0,0.0
1636467677,train,81.0,0.5,0.0,19873.0,9914.0,11829.0,13467.0,13814.0,15314.0,16593.0,18011.0,19305.0,200.0,75.0,0.0
1636467711,train,91.0,0.5,0.0,16350.0,8823.0,9565.0,10069.0,10637.0,11960.0,14951.0,15932.0,16248.0,200.0,75.0,0.0
1636467809,train,1.0,0.5,0.0,175.0,96.0,101.0,104.0,105.0,109.0,113.0,161.0,169.0,300.0,75.0,0.0
1636467851,train,11.0,0.5,0.0,1840.0,1172.0,1220.0,1232.0,1238.0,1265.0,1344.0,1523.0,1630.0,300.0,75.0,0.0
1636467894,train,21.0,0.5,0.0,2478.0,2283.0,2339.0,2355.0,2359.0,2398.0,2441.0,2454.0,2455.0,300.0,75.0,0.0
1636467947,train,31.0,0.5,0.0,7108.0,4400.0,4787.0,5111.0,5375.0,5714.0,6192.0,6611.0,6712.0,300.0,75.0,0.0
1636467999,train,41.0,0.5,0.0,10769.0,5507.0,6010.0,6309.0,6504.0,7095.0,7796.0,8511.0,9567.0,300.0,75.0,0.0
1636468048,train,51.0,0.5,0.0,12981.0,5560.0,6174.0,7082.0,7504.0,8802.0,9903.0,11395.0,12264.0,300.0,75.0,0.0
1636468104,train,61.0,0.5,0.0,19510.0,8409.0,9550.0,10680.0,11198.0,12916.0,14704.0,15811.0,16808.0,300.0,75.0,0.0
1636468223,train,81.0,0.5,0.0,11276.0,8388.0,8585.0,8789.0,8845.0,9160.0,10053.0,10766.0,10895.0,300.0,75.0,0.0
1636468265,train,91.0,0.5,0.0,11836.0,9716.0,9920.0,10026.0,10189.0,10620.0,10822.0,10969.0,11588.0,300.0,75.0,0.0
1636468308,train,101.0,0.5,0.0,14158.0,10453.0,10916.0,11294.0,11676.0,12381.0,13426.0,13755.0,13849.0,300.0,75.0,0.0
1636468355,train,1.0,0.5,0.0,168.0,95.0,99.0,101.0,103.0,109.0,115.0,158.0,167.0,400.0,75.0,0.0
1636468408,train,11.0,0.5,0.0,1268.0,1185.0,1197.0,1205.0,1212.0,1227.0,1236.0,1259.0,1267.0,400.0,75.0,0.0
1636468460,train,21.0,0.5,0.0,2457.0,2281.0,2301.0,2305.0,2307.0,2325.0,2326.0,2334.0,2348.0,400.0,75.0,0.0
1636468532,train,31.0,0.5,0.0,9696.0,4690.0,5307.0,5686.0,5882.0,6484.0,6890.0,7605.0,7896.0,400.0,75.0,0.0
1636468603,train,41.0,0.5,0.0,12647.0,6004.0,6605.0,7089.0,7399.0,8109.0,8908.0,10023.0,10801.0,400.0,75.0,0.0
1636468766,train,61.0,0.5,0.0,21212.0,8988.0,10108.0,10772.0,11455.0,13314.0,15022.0,17171.0,19519.0,400.0,75.0,0.0
1636468820,train,71.0,0.5,0.0,9704.0,7697.0,7947.0,7987.0,8059.0,8098.0,8107.0,8468.0,9466.0,400.0,75.0,0.0
1636468900,train,81.0,0.5,0.0,38781.0,12788.0,14991.0,16493.0,17582.0,20994.0,23165.0,26973.0,31456.0,400.0,75.0,0.0
1636468982,train,91.0,0.5,0.0,39511.0,14433.0,17811.0,19920.0,20829.0,23896.0,26731.0,31288.0,34227.0,400.0,75.0,0.0
1636469048,train,101.0,0.5,0.0,33318.0,11320.0,13404.0,14620.0,16231.0,19375.0,22582.0,25577.0,29868.0,400.0,75.0,0.0
1636469138,train,1.0,0.5,0.0,668.0,101.0,114.0,178.0,200.0,399.0,503.0,576.0,598.0,500.0,75.0,0.0
1636469200,train,11.0,0.5,0.0,2472.0,1132.0,1153.0,1163.0,1166.0,1183.0,1415.0,1666.0,1959.0,500.0,75.0,0.0
1636469269,train,21.0,0.5,0.0,10598.0,2226.0,2278.0,2522.0,2712.0,3110.0,3707.0,5384.0,6801.0,500.0,75.0,0.0
1636469360,train,31.0,0.5,0.0,29182.0,4711.0,5290.0,5689.0,5915.0,6575.0,7419.0,8294.0,13905.0,500.0,75.0,0.0
1636469571,train,51.0,0.5,0.0,36397.0,8033.0,8887.0,9587.0,9966.0,11215.0,12800.0,18300.0,23998.0,500.0,75.0,0.0
1636469803,train,71.0,0.5,0.0,32292.0,12173.0,13600.0,15086.0,15990.0,18380.0,22501.0,24697.0,27698.0,500.0,75.0,0.0
1636469912,train,81.0,0.5,0.0,35901.0,14975.0,17382.0,18892.0,19795.0,23177.0,25387.0,28237.0,32178.0,500.0,75.0,0.0
1636470239,train,1.0,0.5,0.0,720.0,118.0,207.0,309.0,392.0,511.0,601.0,687.0,709.0,600.0,75.0,0.0
1636472056,train,1.0,0.5,0.467556,55298.0,106.0,119.0,184.0,226.0,500.0,6107.0,30067.0,55298.0,100.0,74.0,63.50848
1636472188,train,11.0,0.5,0.479618,93771.0,2081.0,2773.0,21204.0,30206.0,48694.0,57978.0,84172.0,93771.0,100.0,74.0,64.606208
1636472342,train,21.0,0.5,0.493969,93097.0,29317.0,42310.0,46195.0,51303.0,73185.0,87382.0,91687.0,93097.0,100.0,74.0,66.363392
1636472484,train,31.0,0.5,0.500076,97057.0,40144.0,52307.0,56914.0,59709.0,68144.0,75444.0,91043.0,97057.0,100.0,74.0,70.930432
1636472511,train,41.0,0.5,0.486262,15523.0,5580.0,6199.0,6541.0,6985.0,8303.0,9003.0,13802.0,15523.0,100.0,74.0,70.930432
1636472537,train,51.0,0.5,0.486262,15652.0,5977.0,7093.0,7769.0,8178.0,9575.0,12039.0,14254.0,15652.0,100.0,74.0,70.98368
1636472565,train,61.0,0.5,0.467595,16938.0,8150.0,9086.0,9645.0,10166.0,13231.0,15835.0,16835.0,16938.0,100.0,74.0,70.98368
1636472595,train,71.0,0.5,0.467425,19949.0,10907.0,13141.0,14532.0,15441.0,18145.0,19332.0,19941.0,19949.0,100.0,74.0,67.383296
1636472623,train,81.0,0.5,0.468715,17838.0,11877.0,14141.0,14853.0,15147.0,16151.0,17742.0,17837.0,17838.0,100.0,74.0,68.702208
