method,MAE,RMSE,n_cells
darts_nearest,10119.715606256215,39717.93024857334,6315
"wavestitchplus_v2(tau=8,hp=32)",10140.194954430463,35085.915657833815,6315
darts_auto,10189.542855192341,34666.20348726698,6315
darts_linear,10189.542855192341,34666.20348726698,6315
darts_slinear,10189.542855192341,34666.20348726698,6315
imputegap_interpolation,10189.542855192341,34666.20348726698,6315
darts_zero,11823.691306985906,37465.66037029369,6315
darts_quadratic,20877.223385199526,82163.57370332378,6315
darts_cubic,22845.562868715228,88893.6527768115,6315
wavestitchplus_harpoon,25682.176114954436,55065.98863082187,6315
imputegap_mean_by_series,26235.691542398126,49679.51156516205,6315
imputegap_mean,26235.691542398126,49679.51156516205,6315
wavestitchplus_v1,30350.381199112897,61191.519807480654,6315
imputegap_min,35079.1888492502,66821.8362302009,6315
imputegap_zero,35231.52055100412,66942.0882566381,6315
