time,split,cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb
1644249808.0,train,0.5,0.1104207599999999,26827.055,27044.114,27232.122,27320.11,26320.337,50.0,4096.0,340.267008
1644249875.0,train,0.5,0.119848,27852.542,27969.858,28179.642,28285.666,27529.409,50.0,4096.0,340.267008
1644249942.0,train,0.5,0.313978,27952.51,28068.201,28221.301,28306.874,27627.984,50.0,4096.0,340.762624
1644250009.0,train,0.5,0.411185,27599.033,27756.417,27896.257,27970.359,27136.062,50.0,4096.0,340.762624
1644250076.0,train,0.5,0.460797,27598.737,27748.097,27877.329,27940.557,27155.208,50.0,4096.0,342.523904
1644250143.0,train,0.5,0.487091,41642.639,41834.964,42005.492,42076.031,41071.44,100.0,4096.0,449.191936
1644250210.0,train,0.5,0.487969,41696.76,41889.798,42060.809,42146.621,41169.405,100.0,4096.0,440.905728
1644250277.0,train,0.5,0.489539,43920.6185,44136.136,44323.393,44419.353,43408.278,125.0,4096.0,501.743616
1644250344.0,train,0.5,0.491109,46144.477,46382.474,46585.977,46692.085,45647.151,150.0,4096.0,562.581504
1644250411.0,train,0.5,0.494942,45788.108,46071.997,46268.688,46343.792,45350.35,150.0,4096.0,572.542976
1644250478.0,train,0.5,0.498831,48060.859,48293.285,48506.312,48589.043,47521.911,200.0,4096.0,723.98848
1644250545.0,train,0.5,0.498704,48161.282,48355.011,48614.081,48715.194,47696.055,200.0,4096.0,723.98848
1644250612.0,train,0.5,0.498577,48261.705,48416.737,48721.85,48841.345,47870.199,200.0,4096.0,723.98848
1644250679.0,train,0.5,0.498639,48330.708,48554.629,48726.125,48813.036,47849.571,200.0,4096.0,695.169024
1644250746.0,train,0.5,0.49861,48347.498,48588.381,48791.6265,48897.907,47837.4405,200.0,4096.0,694.102016
1644250813.0,train,0.5,0.498581,48364.288,48622.133,48857.128,48982.778,47825.31,200.0,4096.0,693.035008
1644250880.0,train,0.5,0.498542,48243.541,48387.832,48762.757,48857.671,47758.874,200.0,4096.0,670.65856
1644250947.0,train,0.5,0.4985159999999999,49075.9425,49265.3505,49573.4885,49675.136,48571.934,225.0,4096.0,687.90272
1644251014.0,train,0.5,0.49849,49908.344,50142.869,50384.22,50492.601,49384.994,250.0,4096.0,705.14688
1644251081.0,train,0.5,0.497905,49985.426,50217.224,50361.848,50479.527,49432.955,250.0,4096.0,766.898176
1644251148.0,train,0.5,0.4981145,49956.716,50211.956000000006,50379.571,50498.1555,49414.859,250.0,4096.0,757.348352
1644251215.0,train,0.5,0.498324,49928.006,50206.688,50397.294,50516.784,49396.763,250.0,4096.0,747.798528
1644251282.0,train,0.5,0.498312,49987.047,50191.689,50438.487,50555.011,49256.654,250.0,4096.0,882.089984
1644251349.0,train,0.5,0.498569,49986.519,50210.943,50406.095,50463.974,49422.155,250.0,4096.0,882.089984
1644251416.0,train,0.5,0.4984105,50409.4025,50626.325,50807.4515,50872.451,49852.0685,275.0,4096.0,837.920768
1644251483.0,train,0.5,0.498252,50832.286,51041.707,51208.808,51280.928,50281.982,300.0,4096.0,793.751552
1644251550.0,train,0.5,0.498436,50854.727,51086.22,51284.894,51359.507,50289.683,300.0,4096.0,969.37984
1644251617.0,train,0.5,0.498384,51236.512,51463.7865,51643.352,51739.004,50590.0625,325.0,4096.0,1009.915904
1644251684.0,train,0.5,0.498332,51618.297,51841.353,52001.81,52118.501,50890.442,350.0,4096.0,1050.451968
