method,MAE,RMSE,n_cells
darts_nearest,7284.458641686559,20639.323609333132,3720
darts_slinear,7566.427933673621,18477.81764231957,3720
darts_auto,7566.427933673622,18477.81764231957,3720
darts_linear,7566.427933673622,18477.81764231957,3720
imputegap_interpolation,7566.427933673622,18477.81764231957,3720
"wavestitchplus_v2(tau=8,hp=32)",7566.427933673622,18477.81764231957,3720
darts_zero,9494.738920795699,23840.501172296452,3720
wavestitchplus_harpoon,14507.735896151884,23118.96946075967,3720
imputegap_mean_by_series,15615.817988043818,24261.557781016563,3720
imputegap_mean,15615.817988043818,24261.557781016563,3720
darts_quadratic,16963.945995484035,42437.76566634719,3720
wavestitchplus_v1,17348.806229417325,29441.908974228772,3720
darts_cubic,18469.01103823842,45690.718468088984,3720
imputegap_min,21575.213704562637,38694.11339591782,3720
imputegap_zero,21706.150458262633,38700.61907982751,3720
