time,cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647991499.0,2.0,0.009954495,27490.52,28876.867,30651.752,31546.312,19561.209,300.0,2560.0,880.60516,0.0,-0.15219526146492485,0.9883504451294709,1.0,0.0,1.15
1647991568.0,1.5,0.00948823,53350.254,53578.605,53879.125,54018.9,52289.094,350.0,2304.0,1089.7612,0.00038299502106472615,-0.14723400004233073,0.989101688013692,0.0,0.0,0.0
1647991637.0,2.3832884,0.011798517,39249.324,42094.355,42785.246,43207.945,34725.496,367.9236,2213.1553,1226.1952,0.0007659900421294523,-0.1422690314912981,0.9898280268200775,1.0,1.15,1.15
1647991706.0,1.5,0.00950776,53263.32,53610.727,53957.242,54189.797,51819.47,350.0,2304.0,1083.8712,0.0011489850631941786,-0.13730048082219037,0.9905294432605198,0.0,0.0,0.0
1647991775.0,2.2773087,0.011947632,33475.31,34344.21,37407.99,36741.258,29230.668,274.0746,2472.2112,948.8769,0.0015319800842589046,-0.13232847313556684,0.9912059196744184,1.0,1.15,2.3
1647991844.0,2.2586381,0.011819972,31016.81,31355.553,32403.127,34982.883,29166.54,243.56293,2443.3704,881.76324,0.0019149751053236309,-0.12735313361902567,0.991857439029125,1.0,2.3,1.15
1647991913.0,1.5,0.00950776,58992.664,59281.87,59658.367,60002.098,57692.82,400.0,2304.0,1331.8267,0.002297970126388357,-0.12237458754405901,0.9924839849203722,0.0,0.0,0.0
1647991982.0,2.2240295,0.011209071,41685.062,43939.453,43952.72,45130.05,37701.734,330.7067,2291.5427,1131.9913,0.002680965147453083,-0.11739296026289171,0.993085541572686,1.0,1.15,1.15
1647992051.0,1.5,0.00958408,60366.29,60654.203,61146.344,61339.957,58276.867,400.0,2304.0,1260.7898,0.003063960168517809,-0.11240837720533225,0.993662093839784,0.0,0.0,0.0
1647992120.0,2.4205291,0.011499105,41900.926,45522.32,45641.34,46325.805,38501.594,354.73044,2251.6052,1185.7467,0.0034469551895825352,-0.10742096387560758,0.9942136272049561,1.0,1.15,1.15
1647992189.0,1.5,0.00958408,60210.57,60490.848,60885.977,61134.785,59351.727,400.0,2304.0,1180.119,0.0038299502106472617,-0.10243084584921007,0.9947401277814298,0.0,0.0,0.0
1647992258.0,2.2228,0.010854911,45434.727,47759.8,47546.5,48977.29,41114.766,351.51416,2311.879,1169.0193,0.004212945231711987,-0.09743814876972876,0.9952415823127208,1.0,1.15,1.15
1647992327.0,1.5,0.00933047,65904.37,66331.36,66730.664,66948.96,64433.945,450.0,2304.0,1327.0466,0.004595940252776714,-0.09244299834569282,0.9957179781729655,0.0,0.0,0.0
1647992396.0,2.5188777,0.012888212,36116.36,36404.58,37924.848,39096.28,31204.05,336.4636,2407.3286,1057.117,0.00497893527384144,-0.08744552034739855,0.9961693033672402,1.0,1.15,2.3
1647992465.0,2.6346667,0.014284404,24297.76,24969.82,25302.414,26747.912,23648.562,283.44336,2350.3855,903.73676,0.005361930294906166,-0.08244584060375229,0.996595546531862,1.0,2.3,1.15
1647992534.0,2.351804,0.012804622,22512.33,23387.336,23791.516,24253.51,19720.459,267.21747,2341.367,871.4864,0.005744925315970892,-0.07744408499909435,0.9969966969346754,0.0,0.0,0.0
1647992603.0,2.5270963,0.012875423,31821.348,35601.57,34606.96,35798.918,30279.652,321.80942,2277.892,1062.9155,0.006127920337035618,-0.07244037947003028,0.997372744475323,1.0,1.15,1.15
