Feature,MSE,RMSE,MAE,N_Masked
cpu_limit,0.018526016987739233,0.13611031183469985,0.12511571538461538,26
cpu_usage,0.1108013409451924,0.3328683537754714,0.2911931084615385,26
lat100_ms,291105343.08591807,17061.80949037698,11956.939011538463,26
lat50_ms,281506382.3114011,16778.151933732188,11345.451196153848,26
lat75_ms,323453788.2265388,17984.82105072327,11607.149276153845,26
lat80_ms,342192004.98232263,18498.43250068293,12122.234801538461,26
lat90_ms,310952123.1393399,17633.834612452843,12287.283357692308,26
lat95_ms,349250555.9532522,18688.24646544593,11784.273246153847,26
lat98_ms,257981467.6481458,16061.801506933953,11437.967315384614,26
lat99_ms,292992914.90658736,17117.035809584188,11953.83981923077,26
mean_ms,314880019.01279473,17744.858945981923,12174.615957692307,26
n,11290.374485157068,106.25617386842549,79.44404373076921,26
ram_limit_mb,444333.97995576303,666.5838131516269,624.4659076923077,26
ram_usage_mb,71489.21138057383,267.3746648068471,191.378338,26
