Feature,MSE,RMSE,MAE,N_Masked
cpu_limit,0.8668324691812725,0.9310383822277536,0.8646154031210191,157
cpu_usage,1.8359928161027672e-05,0.004284848674227326,0.0038646035898089216,157
lat50_ms,906073198.8446181,30101.0497963878,27502.95091082802,157
lat75_ms,872523490.3801472,29538.508601148893,27017.917337579616,157
lat95_ms,902687505.4044038,30044.758368214643,27522.530038216562,157
lat99_ms,936859494.7774998,30608.16059121325,27822.983770700634,157
min_ms,934466029.179359,30569.037099316018,27829.736866242038,157
n,13910.830067312274,117.94418199857199,101.39445783439491,157
ram_limit_mb,332137.99413056835,576.3141453500585,472.6381464968153,157
ram_usage_mb,116700.17831952806,341.61407804645296,284.866890700637,157
