c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1.0,2.0,1.2810342e-05,210.0,138.00098,149.99902,155.00098,160.0,167.0,173.0,186.0,205.99902,100.0,1024.0,22.867968,0.0,0.46413362,-0.8857652,0.0,0.0,0.0
1.0,2.0,8.962117e-05,213.0,152.0,158.0,162.00098,166.0,182.0,190.0,193.0,212.99902,100.0,384.0,22.867968,5.026313e-06,0.46406922,-0.88579893,0.0,0.0,0.0
11.0,2.0,0.00093057845,3159.0,2836.0,2885.9995,2900.0005,2906.0005,2959.0,2997.0,3060.0,3159.0,100.0,1024.0,24.895489,0.00018094726,0.46181312,-0.88697726,0.0,0.0,0.0
21.0,2.0,0.0023299614,6003.0005,5453.0,5558.0,5608.0,5641.0,5741.0,5847.0,5961.0,6003.0,100.0,256.0,27.881472,0.00036189452,0.45948943,-0.88818324,0.0,0.0,0.0
31.0,2.0,0.004755471,8770.0,7856.0,7941.0,8005.0,8063.0,8315.0,8494.0,8591.0,8770.0,100.0,128.0,28.065792,0.00053781545,0.4572273,-0.8893499,0.0,0.0,0.0
31.0,2.0,0.00466802,8692.0,7945.0,8069.0,8198.0,8250.0,8378.0,8432.0,8564.0,8692.0,100.0,768.0,28.782593,0.0005428418,0.45716262,-0.88938314,0.0,0.0,0.0
41.0,2.0,0.005341331,12767.0,10583.0,10803.0,10920.0,10973.0,11160.0,11511.0,12259.0,12767.0,100.0,768.0,29.487106,0.00072378904,0.45483264,-0.89057696,0.0,0.0,0.0
41.0,2.0,0.00631572,11807.0,10785.0,10974.0,11117.0,11189.0,11307.0,11432.0,11761.0,11807.0,100.0,384.0,30.814207,0.0007288153,0.45476788,-0.89061,0.0,0.0,0.0
51.0,2.0,0.00886396,15739.0,14269.0,14620.0,14831.0,14940.0,15166.0,15445.0,15659.0,15739.0,100.0,128.0,31.277056,0.0009147889,0.45236987,-0.89183044,0.0,0.0,0.0
51.0,2.0,0.00902309,16310.0,14090.0,14377.0,14625.0,14881.0,15287.0,15841.0,16303.0,16310.0,100.0,256.0,31.543297,0.0009198152,0.452305,-0.89186335,0.0,0.0,0.0
51.0,2.0,0.00872105,16412.0,14719.0,14889.0,15003.0,15028.0,15301.0,15645.0,16252.0,16412.0,100.0,384.0,31.236095,0.00092986785,0.4521753,-0.8919291,0.0,0.0,0.0
1.0,2.0,0.01034395,216.0,145.0,150.99902,155.00098,158.00098,169.0,174.99902,185.0,197.0,200.0,1024.0,28.659712,0.0011158414,0.44977373,-0.8931425,0.0,0.0,0.0
1.0,2.0,0.01029095,210.0,150.0,156.00098,161.0,162.99902,168.0,174.0,185.0,194.0,200.0,256.0,31.543297,0.0011208678,0.44970876,-0.89317524,0.0,0.0,0.0
