cpu_limit,cpu_usage,lat50_ms,lat75_ms,lat95_ms,lat99_ms,min_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
4.0,0.02867141,0.3359375,0.3828125,0.47265625,0.5605469,0.19921875,50.0,1024.0,252.25629,0.0,-0.74338806,-0.6688604,0.0,0.0,0.0
3.7157018,0.015878752,98.42578,1665.9434,333.13477,752.45703,262.2129,319.44193,1024.0,859.74744,7.658727e-05,-0.7467349,-0.66512173,1.0,1.0,1.0
4.0,0.01608851,0.34765625,0.39453125,0.48046875,0.5332031,0.21289062,50.0,1024.0,254.0625,0.00015317454,-0.750063,-0.6613664,0.0,0.0,0.0
3.4007125,0.015330615,6294.664,15752.014,11622.859,5372.6973,3010.2422,323.9343,1325.0132,1500.6849,0.00022976182,-0.75337213,-0.65759444,1.0,1.0,7.0
3.5778487,0.012593527,6414.756,12952.577,8595.711,5675.3496,7640.8926,342.1398,1226.2236,1551.6768,0.00030634907,-0.7566623,-0.65380585,1.0,2.0,6.0
3.658867,0.015017781,2473.6348,8107.6914,7563.7773,3704.9863,4064.3906,300.9606,1125.2944,1378.9983,0.00038293636,-0.7599335,-0.6500009,1.0,3.0,5.0
3.5425518,0.016608631,3645.7363,7208.9414,9001.873,7201.291,4081.3154,293.17178,1307.5157,1282.872,0.00045952364,-0.7631855,-0.6461795,1.0,4.0,4.0
3.7212362,0.02025696,4374.256,6536.912,6679.7266,8914.264,3082.834,213.18692,1216.4315,946.64685,0.0005361109,-0.7664183,-0.64234185,1.0,5.0,3.0
3.6204753,0.020555357,5668.6055,8739.348,6125.99,9950.514,3331.1826,166.07129,1264.0374,886.2902,0.00061269815,-0.76963174,-0.638488,1.0,6.0,2.0
3.42527,0.020318288,6349.4375,8868.93,9609.912,0.0,1905.7832,81.11597,1289.2776,617.60986,0.00068928546,-0.7728259,-0.6346181,1.0,7.0,1.0
4.0,0.02136342,0.328125,0.37890625,0.5136719,0.7285156,0.1875,50.0,1024.0,251.21997,0.0007658727,-0.77600056,-0.63073224,0.0,0.0,0.0
2.0,0.00578519,125.23242,146.53125,184.8711,215.20703,36.30664,50.0,1024.0,249.08588,0.00084245997,-0.7791557,-0.62683046,0.0,0.0,0.0
1.0,0.0035845195,2684.0566,2838.1719,2991.4219,3075.8008,2117.8008,50.0,1024.0,350.94122,0.0009190473,-0.7822912,-0.62291294,0.0,0.0,0.0
2.0,0.00694256,28.767578,46.708984,74.353516,94.44531,0.203125,50.0,1024.0,247.84894,0.0009956345,-0.78540695,-0.61897975,0.0,0.0,0.0
1.0,0.0035845195,986.78906,1057.8477,1151.3008,1213.418,683.416,50.0,1024.0,361.2221,0.0010722218,-0.788503,-0.61503094,0.0,0.0,0.0
2.0,0.00694256,92.927734,111.29492,139.87695,170.1914,14.5390625,50.0,1024.0,250.33112,0.0011488091,-0.7915792,-0.61106664,0.0,0.0,0.0
3.0,0.00955058,0.31054688,0.359375,0.5410156,1.7011719,0.17578125,50.0,1024.0,246.30884,0.0012253963,-0.7946354,-0.60708696,0.0,0.0,0.0
4.0,0.01336023,0.30078125,0.36132812,0.6386719,1.7890625,0.17578125,100.0,1024.0,293.83484,0.0013019836,-0.7976717,-0.60309196,0.0,0.0,0.0
3.0,0.01089024,40.46289,58.671875,82.50391,103.208984,0.38476562,100.0,1024.0,311.9472,0.0013785709,-0.8006878,-0.5990818,0.0,0.0,0.0
4.0,0.01706537,0.3125,0.40625,0.8613281,3.421875,0.18554688,100.0,1024.0,300.716,0.0014551581,-0.8036838,-0.5950566,0.0,0.0,0.0
3.0,0.01202323,49.00586,64.44922,89.833984,104.07617,0.8144531,100.0,1024.0,302.8623,0.0015317454,-0.8066596,-0.59101635,0.0,0.0,0.0
4.0,0.01706537,0.33203125,0.43359375,0.9628906,3.3417969,0.18945312,100.0,1024.0,302.48956,0.0016083327,-0.809615,-0.58696127,0.0,0.0,0.0
3.0,0.01202323,29.691406,39.32617,55.023438,67.97461,0.328125,100.0,1024.0,319.72144,0.0016849199,-0.81255007,-0.5828914,0.0,0.0,0.0
4.0,0.01836982,41.85742,57.802734,80.84961,92.99414,0.27539062,150.00002,1024.0,368.77927,0.0017615072,-0.8154647,-0.5788069,0.0,0.0,0.0
2.0,0.00621648,14179.204,16014.314,18001.6,19659.459,8551.518,150.00002,1024.0,629.61664,0.0018380946,-0.8183587,-0.57470775,0.0,0.0,0.0
