time,cpu_limit,cpu_usage,n,c,ram_limit_mb,ram_usage_mb,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1647438147.0,2.0,0.0,100.0,1.0,768.0,18.518016,31.0,33.0,34.0,35.0,37.0,39.0,47.0,66.0,66.0,0.0,-0.4322824878529843,-0.901738238457056,-0.9645574184839484,-0.2638730498697839,0.0,0.0,0.0
1647438151.0,1.965055,0.059464924,266.78287,31.226072,671.89825,48.28895,3193.7324,3289.1143,3424.1438,3392.5884,3504.5505,3580.8845,3593.8237,3594.165,3577.498,5.1770552909505074e-05,-0.4325447745616335,-0.9016124544389488,-0.966376079213169,-0.2571327935611924,1.0,1.0,4.0
1647438155.0,1.9559531,0.05420506,287.9686,25.666058,640.80786,48.42292,2538.8828,2632.9731,2679.6135,2657.8645,2752.3914,2776.233,2779.9712,2739.2024,2785.1953,0.000103541105819,-0.4328070247094565,-0.9014865941111648,-0.9681476403758398,-0.2503800040632112,1.0,2.0,3.0
1647438159.0,1.9753052,0.048202045,281.12973,26.45056,653.3979,48.262005,2536.3406,2708.3713,2760.8574,2724.8787,2819.5981,2838.289,2871.1057,2812.408,2830.5903,0.0001553116587285,-0.4330692382217801,-0.9013606575095272,-0.9698720152693654,-0.2436150118472584,1.0,3.0,2.0
1647438163.0,1.9797782,0.03935034,226.78351,17.78611,736.6615,47.9267,1551.8922,1731.4338,1720.8413,1707.0574,1860.0791,1933.8737,1878.0957,1834.3849,1840.78,0.000207082211638,-0.4333314150633078,-0.9012346446510094,-0.9715491199698844,-0.2368381461795017,1.0,4.0,1.0
1647438167.0,2.0,0.0,100.0,11.0,512.0,43.077632,1141.0,1151.0,1161.0,1227.0,1232.0,1232.0,1232.0,1232.0,1232.0,0.0002588527645475,-0.4335935552643176,-0.9011085555210588,-0.9731788727376812,-0.2300497373548078,0.0,0.0,0.0
1647438171.0,1.9771498,0.046373405,238.06085,21.054909,670.73865,47.898308,2019.0864,2132.5757,2179.9067,2131.2415,2229.5293,2289.605,2283.7234,2207.4285,2193.0266,0.000310623317457,-0.4338556587763951,-0.9009823901429485,-0.9747611942448652,-0.2232501157767322,1.0,1.0,4.0
1647438175.0,1.9765291,0.04870726,228.71951,24.77147,653.9556,47.816486,2426.4119,2587.8098,2580.76,2540.771,2628.2908,2704.007,2693.5852,2690.049,2648.768,0.0003623938703665,-0.4341177255642532,-0.9008561485336712,-0.9762960070594476,-0.2164396142109361,1.0,2.0,3.0
1647438179.0,1.9699099,0.045714445,224.54404,18.065073,680.9519,47.915752,1739.1282,1901.2832,1909.8534,1832.9008,1900.6847,1977.652,1979.8842,1982.6584,1979.4761,0.000414164423276,-0.434379755631937,-0.9007298306912782,-0.9777832367863016,-0.2096185627746332,1.0,3.0,2.0
1647438183.0,1.9680132,0.038915373,205.94589,19.517914,761.3783,47.48475,1665.6886,1871.5259,1890.2247,1833.4526,2000.6326,2007.447,2025.8489,1983.7032,1981.1182,0.0004659349761855,-0.4346417489441634,-0.9006034366327716,-0.979222810637592,-0.2027872952800899,1.0,4.0,1.0
