time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,mean_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1637930130.0,3.5,0.0,10.0,2048.0,1482.559488,844.192,841.769,843.833,843.833,875.462,875.462,875.462,875.462,875.759,0.0,-0.15427929277189253,-0.9880272768612235,-0.5446390350041007,-0.8386705679525197,0.0,0.0,0.0
1637930146.0,3.5,0.059012,30.0,2048.0,1582.055424,542.502,543.193,549.103,550.186,551.202,552.363,552.525,552.525,552.841,0.00040617384240454913,-0.15542881000161007,-0.987847095972592,-0.5678437448643169,-0.8231363686646755,0.0,0.0,0.0
1637930162.0,3.5,0.072997,40.0,2048.0,1646.845952,582.36,584.222,597.598,598.091,599.218,601.417,603.755,603.755,606.606,0.0008123476848090983,-0.15657811683199874,-0.9876655776776595,-0.5906056676360599,-0.8069603121319932,0.0,0.0,0.0
1637930178.0,3.5,0.040482,50.0,2048.0,1688.539136,708.245,710.131,719.573,721.993,725.67,734.043,734.185,734.185,737.539,0.0012185215272136475,-0.15772721164956868,-0.9874827222312561,-0.6129070534978492,-0.7901550124960194,0.0,0.0,0.0
1637930194.0,3.5,0.306398,70.0,2048.0,1815.228416,1412.604,1416.541,1430.599,1439.236,1443.194,1444.121,1445.117,1448.054,1449.671,0.0016246953696181965,-0.15887609295609648,-0.987298529871794,-0.6347305132432355,-0.7727335734636996,0.0,0.0,0.0
1637930210.0,3.5,0.495368,80.0,2048.0,1826.44736,1166.394,1170.535,1198.775,1201.212,1212.313,1213.628,1215.344,1216.54,1217.178,0.0020308692120227455,-0.16002475913868966,-0.9871130008578574,-0.6560590288672613,-0.7547095803299081,0.0,0.0,0.0
1637930226.0,3.5,0.383648,100.0,2048.0,1830.576128,3535.697,3529.806,3568.727,3574.962,3588.783,3593.429,3594.414,3596.494,3596.999,0.002437043054427295,-0.16117320869968366,-0.9869261354313443,-0.6768759697459941,-0.7360970870614963,0.0,0.0,0.0
1637930242.0,3.5,0.369011,110.0,2048.0,434.372608,1527.971,1527.266,1571.459,1583.505,1595.752,1599.02,1607.039,1607.603,1609.029,0.002843216896831844,-0.16232144002679216,-0.9867379338545916,-0.6971651027611655,-0.7169106077413094,0.0,0.0,0.0
1637930258.0,3.5,0.369011,120.0,2048.0,439.410688,1673.571,1664.22,1746.609,1749.666,1765.461,1767.82,1769.404,1769.815,1772.349,0.003249390739236393,-0.1634694516229175,-0.9865483963729821,-0.7169106077334886,-0.6971651027692077,0.0,0.0,0.0
1637930274.0,3.5,0.259239,130.0,2048.0,440.823808,1917.784,1920.672,1956.775,1970.206,1990.829,1997.882,2000.871,2002.789,2010.631,0.0036555645816409425,-0.16461724187638832,-0.9863575232526037,-0.7360970870539031,-0.6768759697542516,0.0,0.0,0.0
1637930290.0,,,,,,,,,,,,,,,0.004061738424045491,-0.1657648092763314,-0.9861653147447346,-0.7547095803225484,-0.6560590288757276,1.0,1.0,11.0
1637930306.0,,,,,,,,,,,,,,,0.004467912266450041,-0.16691215225475065,-0.9859717711119761,-0.7727335731610098,-0.6347305136117362,1.0,2.0,10.0
1637930322.0,,,,,,,,,,,,,,,0.00487408610885459,-0.16805926925831002,-0.9857768926163581,-0.7901550122037367,-0.6129070538746578,1.0,3.0,9.0
1637930338.0,,,,,,,,,,,,,,,0.005280259951259139,-0.16920615874832146,-0.9855806795192558,-0.8069603121253678,-0.5906056676451125,1.0,4.0,8.0
1637930354.0,,,,,,,,,,,,,,,0.005686433793663688,-0.17035281912903658,-0.9853831320936998,-0.8231363683938826,-0.5678437452568535,1.0,5.0,7.0
