time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,mean_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1637930130.0,3.5,0.0,10.0,2048.0,1482.5594,844.1914,841.76904,843.833,843.833,875.4619,875.4619,875.4619,875.4619,875.7588,0.0,-0.15427929,-0.9880273,-0.54463905,-0.83867055,0.0,0.0,0.0
1637930146.0,3.5,0.059012026,30.0,2048.0,1582.0554,542.50195,543.1929,549.103,550.18604,551.20215,552.3628,552.5249,552.5249,552.8408,0.00040617384,-0.15542881,-0.9878471,-0.56784374,-0.8231364,0.0,0.0,0.0
1637930162.0,3.5,0.072997004,39.999985,2048.0,1646.846,582.35986,584.22217,597.59814,598.0908,599.21826,601.4165,603.7549,603.7549,606.60596,0.0008123477,-0.15657812,-0.9876656,-0.5906057,-0.8069603,0.0,0.0,0.0
1637930178.0,3.5,0.040482014,50.000008,2048.0,1688.5391,708.2446,710.1304,719.57227,721.99316,725.6699,734.04297,734.18506,734.18506,737.5386,0.0012185215,-0.15772721,-0.9874827,-0.61290705,-0.790155,0.0,0.0,0.0
1637930194.0,3.5,0.306398,69.99999,2048.0,1815.2283,1412.6035,1416.541,1430.5991,1439.2358,1443.1934,1444.1211,1445.1167,1448.0537,1449.6709,0.0016246954,-0.15887609,-0.98729855,-0.6347305,-0.77273357,0.0,0.0,0.0
1637930210.0,3.5,0.495368,80.0,2048.0,1826.4473,1166.394,1170.5347,1198.7749,1201.2119,1212.313,1213.6279,1215.3433,1216.54,1217.1777,0.0020308692,-0.16002476,-0.987113,-0.656059,-0.7547096,0.0,0.0,0.0
1637930226.0,3.5,0.38364798,100.0,2048.0,1830.5762,3535.6968,3529.806,3568.727,3574.962,3588.783,3593.429,3594.414,3596.494,3596.999,0.002437043,-0.16117321,-0.98692614,-0.67687595,-0.7360971,0.0,0.0,0.0
1637930242.0,3.5,0.369011,110.0,2048.0,434.37262,1527.9707,1527.2656,1571.459,1583.5049,1595.752,1599.02,1607.0391,1607.603,1609.0293,0.002843217,-0.16232143,-0.9867379,-0.69716513,-0.7169106,0.0,0.0,0.0
1637930258.0,3.5,0.369011,120.0,2048.0,439.4107,1673.5713,1664.2202,1746.6089,1749.666,1765.4609,1767.8198,1769.4043,1769.815,1772.3491,0.0032493907,-0.16346945,-0.9865484,-0.7169106,-0.69716513,0.0,0.0,0.0
1637930274.0,3.5,0.259239,130.0,2048.0,440.82382,1917.7839,1920.6716,1956.7749,1970.206,1990.8291,1997.8818,2000.8711,2002.7891,2010.6309,0.0036555645,-0.16461724,-0.9863575,-0.7360971,-0.67687595,0.0,0.0,0.0
