time,cpu_limit,cpu_usage,n,ram_limit_mb,ram_usage_mb,mean_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1637961650.0,2.5,1.032369,460.0,1792.0,1022.0134,51594.4,51608.516,51776.062,51816.836,51882.47,51943.926,51960.125,51963.48,51980.29,0.009999999999999943,-0.6355887455847569,0.7720277500467608,0.819152044336086,-0.5735764362837886,0.0,0.0,0.0
1637961666.0,2.6270483,0.59605175,338.62918,2067.101,673.317,30852.357,29577.21,29001.848,31341.074,32779.03,33542.316,30413.645,31410.047,30180.656,0.009999999999999943,-0.6355887455847569,0.7720277500467608,0.8028174750914044,-0.5962248750998755,1.0,0.2666666666666666,4.266666666666667
1637961682.0,2.6106994,0.52295405,342.7483,2077.0195,636.93854,32365.533,30314.863,30612.2,32273.43,34161.27,35116.72,31446.756,32748.46,31719.8,0.009999999999999943,-0.6355887455847569,0.7720277500467608,0.7858568932057556,-0.6184083953189814,1.0,0.5333333333333333,4.0
1637961698.0,2.656919,1.0133512,469.85855,1828.2173,796.2109,44119.94,46712.656,44908.035,48229.703,47404.65,48956.32,46678.203,48804.3,45110.684,0.009999999999999943,-0.6355887455847569,0.7720277500467608,0.7682835234653361,-0.6401096996388106,1.0,0.8,3.733333333333333
1637961714.0,2.6474485,0.62116873,361.14795,1948.7555,678.06494,33373.727,32638.096,33207.91,33645.582,36279.41,37519.414,33455.715,35300.594,33315.273,0.009999999999999943,-0.6355887455847569,0.7720277500467608,0.7501110699490282,-0.6613118649623065,1.0,1.0666666666666669,3.466666666666667
1637961730.0,2.6358676,0.53657734,317.68173,2073.8193,632.5302,31477.41,29190.258,30073.727,31130.127,33940.332,35198.04,30908.43,32038.008,30571.562,0.0101626016260162,-0.6355169109002871,0.7720869484454174,0.7313537017776536,-0.6819983598925462,1.0,1.3333333333333333,3.2
1637961746.0,2.6739082,0.90371037,430.96942,1797.6777,833.80194,40865.25,42184.62,41260.902,44024.75,42537.793,45715.258,42142.938,44346.9,41232.66,0.0121951219512195,-0.6346181169466382,0.7728258831348127,0.7120260463060524,-0.7021530526756765,1.0,1.6,2.933333333333333
1637961762.0,2.6462882,0.68414325,381.1131,1885.8541,744.55597,36303.086,35700.273,35717.637,37259.668,38909.01,40636.312,36568.293,38596.34,36487.875,0.0142276422764227,-0.6337184638120484,0.7735637715299867,0.6921431740142954,-0.721760227960378,1.0,1.8666666666666667,2.6666666666666665
1637961778.0,2.6246743,0.50331336,326.8814,2054.841,651.0356,32439.77,29912.805,30911.42,31971.195,35392.16,36568.0,32053.875,33153.598,32242.855,0.016260162601626,-0.6328179527145199,0.7743006126319439,0.6717205896309258,-0.7408045960075311,1.0,2.1333333333333333,2.4
1637961794.0,2.6279292,0.8799507,422.2003,1974.3969,830.7453,39498.85,40776.035,39272.418,42365.81,42535.08,44185.11,41366.598,42728.645,40857.28,0.0182926829268292,-0.6319165848732113,0.7750364054431105,0.6507742173921446,-0.759271307226634,1.0,2.4,2.1333333333333333
