Feature,MSE,RMSE,MAE,N_Masked
cpu_limit,0.017075898744099073,0.13067478235719038,0.1212036361538462,26
cpu_usage,0.09806498751762395,0.3131532971527267,0.24471602653846156,26
n,5214.519832572893,72.21163225251797,52.202484,26
ram_limit_mb,150628.86672572888,388.10934892853186,338.5954423076923,26
ram_usage_mb,117134.34501711055,342.2489518130195,256.74431984615387,26
mean_ms,146646702.72460693,12109.777154209194,8426.750215384616,26
lat50_ms,169938000.24889347,13036.027011666303,9684.149938461538,26
lat75_ms,160645682.12850875,12674.60777020373,9066.157423076922,26
lat80_ms,189302192.23950556,13758.713320638146,10817.137007692307,26
lat90_ms,128160086.36667806,11320.781172987934,7651.800115384614,26
lat95_ms,134056458.86224732,11578.275297394139,8833.249019230769,26
lat98_ms,152270184.1159609,12339.780553800822,8987.701142307693,26
lat99_ms,168727567.93561453,12989.517617510457,9959.086192307692,26
lat100_ms,143180045.6642306,11965.78646241987,8308.36333076923,26
