Feature,WaveStitch_MSE,WaveStitch+_MSE,N_Masked,Better
cpu_limit,,0.017075898744099073,26,Tie/NA
cpu_usage,,0.09806498751762395,26,Tie/NA
n,,5214.519832572893,26,Tie/NA
ram_limit_mb,,150628.86672572888,26,Tie/NA
ram_usage_mb,,117134.34501711055,26,Tie/NA
mean_ms,,146646702.72460693,26,Tie/NA
lat50_ms,,169938000.24889347,26,Tie/NA
lat75_ms,,160645682.12850875,26,Tie/NA
lat80_ms,,189302192.23950556,26,Tie/NA
lat90_ms,,128160086.36667806,26,Tie/NA
lat95_ms,,134056458.86224732,26,Tie/NA
lat98_ms,,152270184.1159609,26,Tie/NA
lat99_ms,,168727567.93561453,26,Tie/NA
lat100_ms,,143180045.6642306,26,Tie/NA
