Feature,MSE,RMSE,MAE,N_Masked
cpu_limit,1.284506628555028,1.133360767167731,1.0216331315913978,93
cpu_usage,0.0023834653588997185,0.048820747217752807,0.041081528741935484,93
n,55358.02135922102,235.2828539422731,199.65651483870963,93
c,188.10477191420148,13.715129307235914,9.46436699892473,93
ram_limit_mb,92412.7007759621,303.9945735962438,261.57994827956986,93
ram_usage_mb,25.710609706619987,5.07056305617236,3.685102311827957,93
lat50_ms,33639825.53024345,5799.984959484244,3419.1676283870975,93
lat66_ms,53766876.08719237,7332.589998574335,4300.123846021505,93
lat75_ms,70153503.27877428,8375.768817175787,4935.909658387097,93
lat80_ms,84203795.19082287,9176.262593824507,5403.987366881721,93
lat90_ms,128240555.53859667,11324.334662071617,6661.950750107528,93
lat95_ms,178875187.3162126,13374.422877874491,7877.75944967742,93
lat98_ms,243908361.1983627,15617.5657897882,9209.669056236558,93
lat99_ms,296187936.4304249,17210.111458977393,10102.460188817204,93
lat100_ms,456097061.75133556,21356.42904961725,12419.643775268818,93
