Feature,MSE,RMSE,MAE,N_Masked
cpu_limit,0.2350450407623738,0.4848144395151343,0.40605957436206896,174
cpu_usage,1.2325330882980918e-05,0.0035107450609494443,0.002876702487983915,174
n,24496.468924618475,156.51347841198367,118.65986798275861,174
c,267.9030378342131,16.367743822354168,11.766209234719541,174
ram_limit_mb,186115.04815635696,431.41053320052,346.6227695172414,174
ram_usage_mb,16.86093629253675,4.106207044528655,3.1651225714942552,174
lat50_ms,265575244.72387236,16296.479519327859,11256.612187298853,174
lat66_ms,155568349.40012845,12472.704173519407,7563.711892758619,174
lat75_ms,327349361.7913271,18092.798616889737,12634.129041321838,174
lat80_ms,219395637.6645635,14812.009913059183,9416.109321091955,174
lat90_ms,198887048.22879204,14102.731942031374,9586.58249448276,174
lat95_ms,219508210.77853173,14815.80948779147,9191.579870491954,174
lat98_ms,360980590.3638451,18999.489213235316,13674.477061344827,174
lat99_ms,248988579.94431946,15779.371975599011,11158.51857770115,174
lat100_ms,167746981.98282158,12951.717337203649,7944.400406666668,174
