Feature,WaveStitch_MSE,WaveStitch+_MSE,N_Masked,Better
cpu_limit,,0.2350450407623738,174,Tie/NA
cpu_usage,,1.2325330882980918e-05,174,Tie/NA
n,,24496.468924618475,174,Tie/NA
c,,267.9030378342131,174,Tie/NA
ram_limit_mb,,186115.04815635696,174,Tie/NA
ram_usage_mb,,16.86093629253675,174,Tie/NA
lat50_ms,,265575244.72387236,174,Tie/NA
lat66_ms,,155568349.40012845,174,Tie/NA
lat75_ms,,327349361.7913271,174,Tie/NA
lat80_ms,,219395637.6645635,174,Tie/NA
lat90_ms,,198887048.22879204,174,Tie/NA
lat95_ms,,219508210.77853173,174,Tie/NA
lat98_ms,,360980590.3638451,174,Tie/NA
lat99_ms,,248988579.94431946,174,Tie/NA
lat100_ms,,167746981.98282158,174,Tie/NA
