Feature,MSE,RMSE,MAE,N_Masked
cpu_limit,1.407038092826317,1.1861863651325273,1.1596610834394905,157
cpu_usage,2.7146769278099532e-05,0.005210256162426137,0.0050508857867515924,157
n,26319.106066387558,162.23164323394977,140.02749847133757,157
ram_limit_mb,204093.12304937307,451.7666688118692,372.39019554140134,157
ram_usage_mb,200141.08100111436,447.37130104770284,378.01864986496815,157
min_ms,1561338636.9044423,39513.77781109321,36006.83236942675,157
lat50_ms,1575382489.694396,39691.08829062761,36109.02352866242,157
lat75_ms,1604589811.0316558,40057.331551560645,36400.1066178344,157
lat95_ms,1569541657.604719,39617.44133086738,35820.13343312102,157
lat99_ms,1608901695.9116013,40111.116861932445,36128.77071337579,157
