time,cpu_limit,cpu_usage,n,c,ram_limit_mb,ram_usage_mb,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,lat100_ms,t_norm,sin_day,cos_day,is_gap,time_since_last_obs,time_to_next_obs
1647563471,0.9,0.00900021,800.0,51.0,256.0,36.442112,31202.0,31817.0,32192.0,32482.0,33266.0,33897.0,34505.0,34986.0,36311.0,0.0,0.13564352285936365,0.9907577073665899,0.0,0.0,0.0
1647563472,0.9,0.00900038,800.0,51.0,640.0,35.28704,31224.0,31874.0,32307.0,32536.0,33389.0,34013.0,34603.0,35218.0,36288.0,1.6435204207412276e-05,0.13571557243430438,0.9907478404714436,0.0,0.0,0.0
1647563473,0.9,0.0090011,800.0,51.0,896.0,36.728832,31310.0,31989.0,32393.0,32677.0,33409.0,34106.0,34877.0,35109.0,36204.0,3.287040841482455e-05,0.13578762129151373,0.9907379683367306,0.0,0.0,0.0
1647563474,0.9,0.00900025,800.0,51.0,512.0,36.511745,31440.0,32106.0,32480.0,32691.0,33518.0,34123.0,34902.0,35286.0,35909.0,4.930561262223683e-05,0.13585966943061067,0.9907280909625028,0.0,0.0,0.0
1647563475,0.9,0.00900014,800.0,51.0,768.0,36.03661,31418.0,32164.0,32606.0,32895.0,33707.0,34385.0,34929.0,35287.0,36813.008,6.57408168296491e-05,0.1359317168512142,0.9907182083488126,0.0,0.0,0.0
1647563618,0.9,0.00900017,900.0,1.0,640.0,34.664448,150.0,165.0,172.0,178.0,191.0,209.0,228.0,238.0,268.0,0.0024159750184896047,0.14622691084519412,0.9892510755842885,0.0,0.0,0.0
1647563627,1.3904765,0.012642313,922.4941,3.3500862,1117.5986,31.146435,810.5254,2746.5127,2477.5093,-707.93555,-1176.7676,-2779.1123,-1633.2393,2545.7188,1352.3848,0.0025638918563563153,0.14687434279440614,0.989155158419907,1.0,0.15,0.15
1647563629,1.4128677,0.013701867,866.5543,1.0342484,1047.0618,30.430012,888.84863,2184.206,2371.1025,-268.63574,-2418.6064,-1802.6406,-2514.329,-1503.959,-668.29297,0.0025967622647711398,0.1470182080264725,0.9891337859504572,1.0,0.18333333333333332,0.11666666666666667
1647563632,1.2559215,0.010585316,995.95886,-4.0386086,1366.3625,29.40042,166.375,-2387.3652,-747.3125,-5114.5967,-1312.877,-5308.1113,-2536.213,2784.8447,-3864.796,0.0026460678773933765,0.1472340000423311,0.989101688013692,1.0,0.23333333333333334,0.06666666666666667
1647563636,0.9,0.00899938,900.0,1.0,1024.0,33.374207,178.0,188.0,193.0,198.0,213.0,237.0,262.0,270.0,292.0,0.002711808694223026,0.1475217118273157,0.9890588175328798,0.0,0.0,0.0
