time,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1637961650.0,3.0,0.561697,6951.591,6850.366,6901.458,6909.81,6928.714,6940.519,6947.022,6947.907,6832.236,180.0,1792.0,720.10956,0.0,-0.6399979504059503,0.7683766156489816,0.819152044336086,-0.5735764362837886,0.0,0.0,0.0
1637961666.0,2.7937894,0.5528534,33495.707,21904.105,29093.062,20088.627,28940.14,18550.402,42058.508,26538.586,23556.414,302.3409,1900.7086,1202.9169,0.0020325203252032522,-0.6391034705862311,0.7691207667750458,0.8028174750914044,-0.5962248750998755,1.0,0.26666666666666666,0.8
1637961682.0,2.754897,0.54523826,32193.86,26558.773,28522.605,24287.678,29203.422,24626.25,38213.555,28076.852,27258.645,322.96918,2063.061,1107.1155,0.0040650406504065045,-0.6382081255130524,0.7698638766230793,0.7858568932057556,-0.6184083953189814,1.0,0.5333333333333333,0.5333333333333333
1637961698.0,2.8020027,0.3757381,23609.21,13687.53,15720.49,8708.871,16728.273,8040.9727,31884.693,15312.972,14693.754,260.0033,2698.3733,990.3468,0.006097560975609756,-0.6373119163985839,0.7706059441870173,0.7682835234653361,-0.6401096996388106,1.0,0.8,0.26666666666666666
1637961714.0,2.7021308,0.72702986,20012.375,19142.867,17276.246,16348.238,20310.695,14276.318,21301.092,20987.297,19618.613,300.1239,2359.8713,941.0148,0.008130081300813009,-0.6364148444561598,0.7713469684622102,0.7501110699490282,-0.6613118649623065,0.0,0.0,0.0
1637961730.0,2.7864482,0.3764315,24221.387,15094.917,17729.57,10186.74,18573.791,10839.601,32635.484,17946.422,15917.152,238.43385,2634.004,1008.07275,0.01016260162601626,-0.6355169109002871,0.7720869484454174,0.7313537017776536,-0.6819983598925462,1.0,0.26666666666666666,0.8
1637961746.0,2.820989,0.36835515,25858.55,14285.36,20441.207,11159.342,19039.004,10191.014,31385.635,16553.195,15274.689,245.88109,2889.4683,1001.89087,0.012195121951219513,-0.6346181169466382,0.7728258831348127,0.7120260463060524,-0.7021530526756765,1.0,0.5333333333333333,0.5333333333333333
1637961762.0,2.7881362,0.34023666,30990.773,19104.723,23161.004,17461.91,22895.23,16832.64,38036.484,21596.447,21120.535,256.55002,2907.1926,1076.4766,0.014227642276422764,-0.6337184638120484,0.7735637715299867,0.6921431740142954,-0.721760227960378,1.0,0.8,0.26666666666666666
1637961778.0,2.719711,0.69270265,25494.652,21930.607,21206.27,18774.67,20871.549,20618.826,28711.455,23898.176,20634.855,295.05872,2521.8635,1008.2418,0.016260162601626018,-0.6328179527145199,0.7743006126319439,0.6717205896309258,-0.7408045960075311,0.0,0.0,0.0
1637961794.0,2.8208287,0.29284033,25192.168,12969.324,15257.16,7830.3813,19161.117,6387.655,32523.422,13157.563,12650.973,189.20064,3096.3433,1009.6765,0.018292682926829267,-0.6319165848732113,0.7750364054431105,0.6507742173921446,-0.759271307226634,1.0,0.26666666666666666,0.8
1637961810.0,2.7744577,0.3700938,26582.668,17938.945,18810.773,15038.412,21859.598,12869.361,31729.883,20291.457,17211.111,250.35728,2976.9927,978.176,0.02032520325203252,-0.6310143615084456,0.7757711489673284,0.6293203909853292,-0.7771459615092086,1.0,0.5333333333333333,0.5333333333333333
1637961826.0,2.767104,0.42194688,30966.418,20995.584,24063.75,17020.414,23109.578,15453.961,36417.613,21991.086,20006.16,263.85202,3044.1865,949.6367,0.022357723577235773,-0.6301112838417028,0.7765048422098609,0.6073758398291923,-0.7944146204544471,1.0,0.8,0.26666666666666666
1637961842.0,2.7136674,0.54638684,26648.254,25219.566,22423.773,20997.396,22818.283,20668.6,29558.385,26285.672,22831.818,293.80392,2821.9404,884.68695,0.024390243902439025,-0.6292073530956179,0.777237484177395,0.5849576748931085,-0.8110638190571988,0.0,0.0,0.0
1637961858.0,2.857623,0.3197241,31315.95,19517.13,24980.293,14138.314,23205.635,12836.951,39586.656,19954.746,17473.928,238.88559,3187.0571,930.4818,0.026422764227642278,-0.6283025704939836,0.7779690738780384,0.5620833779350787,-0.8270805742181904,1.0,0.26666666666666666,1.0666666666666667
1637961874.0,2.80676,0.5092641,32314.594,21172.633,24470.605,17763.66,26796.973,15952.121,42689.746,21379.752,20528.512,255.50056,3036.4211,1014.5681,0.028455284552845527,-0.6273969372617437,0.7786996103213252,0.5387707848812942,-0.8424523970874522,1.0,0.5333333333333333,0.8
1637961890.0,2.8267913,0.17095482,27777.562,18223.426,22043.32,15560.465,21096.871,11489.82,36448.79,18552.383,18145.773,243.9852,3153.6035,951.05066,0.03048780487804878,-0.6264904546249935,0.7794290925182155,0.5150380749677139,-0.8571673006674668,1.0,0.8,0.5333333333333333
1637961906.0,2.8553562,0.1787231,36754.508,21504.344,27155.008,19425.734,28185.637,16508.791,44075.496,22259.723,22075.098,243.25871,3301.6838,1009.54724,0.032520325203252036,-0.6255831238109806,0.7801575194810951,0.4909037534565152,-0.8712138112095703,1.0,1.0666666666666667,0.26666666666666666
1637961922.0,2.5,0.978985,62757.89,62348.734,62524.15,62571.59,62657.81,62735.07,62750.055,62754.35,62339.71,500.0,1792.0,1130.8073,0.034552845528455285,-0.6246749460480978,0.7808848902237807,0.4663866403701838,-0.8845809751991125,0.0,0.0,0.0
1637961938.0,2.9138844,0.2964422,34221.348,20769.367,25181.152,13624.895,25413.527,13971.891,41343.277,20135.895,16881.268,276.7149,3087.7944,1079.3433,0.036585365853658534,-0.6237659225658878,0.7816112037615165,0.4415058525987478,-0.897258369769295,1.0,0.26666666666666666,0.8
1637961954.0,2.8515186,0.35701573,36333.16,26087.883,30373.246,22355.4,28184.191,20473.873,45626.95,26856.426,24410.406,287.8122,3041.8042,1056.5,0.03861788617886179,-0.6228560545950358,0.7823364591109798,0.4162807926849088,-0.9092361088527138,1.0,0.5333333333333333,0.5333333333333333
1637961970.0,2.8879075,0.14053756,39706.504,23619.809,29051.43,20605.94,29846.176,18991.318,50670.14,24596.957,23377.793,259.98868,3205.442,1079.5927,0.04065040650406504,-0.6219453433673704,0.7830606552902807,0.3907311286895222,-0.92050485336744,1.0,0.8,0.26666666666666666
1637961986.0,2.5,0.98079205,64546.105,64088.41,64308.066,64329.36,64470.746,64508.477,64520.438,64536.125,64116.637,510.00003,1792.0,1159.0123,0.042682926829268296,-0.6210337901158641,0.7837837913189611,0.3648767847415687,-0.9310558157042224,0.0,0.0,0.0
1637962002.0,2.8893116,0.22498462,39262.23,26339.531,31456.176,22447.799,31834.535,20271.385,48767.348,27667.54,24385.357,295.42413,2850.8613,1110.015,0.044715447154471545,-0.6201213960746265,0.7845058662180011,0.3387379204189021,-0.9408807688917218,1.0,0.26666666666666666,1.0666666666666667
