Feature,MSE,RMSE,MAE,N_Masked
c,197.0431136281315,14.03720462300566,11.600976010752689,93
cpu_limit,1.3081717690589696,1.1437533689825659,1.0167521904301073,93
cpu_usage,0.004633405042904516,0.06806911959842375,0.05840074007526882,93
lat100_ms,480258631.29017943,21914.80392999626,12903.07594516129,93
lat50_ms,37636204.32676523,6134.83531374439,3792.600926881721,93
lat66_ms,60293671.25384494,7764.899951309414,4739.8278193548385,93
lat75_ms,77063442.86610082,8778.578635867018,5335.533223655913,93
lat80_ms,92764497.34720379,9631.432777484551,5829.044938709677,93
lat90_ms,139572110.59512022,11814.064101532555,7104.508507526882,93
lat95_ms,191344848.48746145,13832.745515170205,8289.892793548388,93
lat98_ms,260695249.56266913,16146.059877340636,9659.296036559139,93
lat99_ms,314085713.18342465,17722.463519032128,10548.357523655914,93
n,51084.91785876482,226.01972891489987,183.7064139784946,93
ram_limit_mb,88242.06342475329,297.05565711622677,254.57182989247315,93
ram_usage_mb,18.10618021894171,4.255135746241441,3.2132691935483866,93
