Feature,MSE,RMSE,MAE,N_Masked
c,158.95616380428632,12.607781874869438,8.140938588505746,174
cpu_limit,0.23262761066857052,0.4823148459964409,0.39517270488505746,174
cpu_usage,1.920018020619173e-05,0.0043818010231172905,0.003279386592528744,174
lat100_ms,183119622.50653568,13532.169911235067,8594.599522413793,174
lat50_ms,131080428.2616938,11449.036128063088,7226.384442183909,174
lat66_ms,137755598.31491923,11736.9330881163,7350.796200632183,174
lat75_ms,136539784.0722096,11685.023922620338,7360.640009770115,174
lat80_ms,142914699.84434828,11954.693632391767,7529.700259195402,174
lat90_ms,151971147.34163177,12327.657820593164,7800.702513218391,174
lat95_ms,164110678.39153805,12810.569011232017,8102.850023218391,174
lat98_ms,173013364.23405802,13153.454460105073,8262.31547132184,174
lat99_ms,173941641.7243822,13188.693708035766,8325.680285057471,174
n,8702.106695304725,93.2850829195361,50.23851971264368,174
ram_limit_mb,79819.49904629464,282.5234486662915,244.7850583333334,174
ram_usage_mb,3.3798672902790736,1.838441538444743,1.1845622701149419,174
