cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,mean_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
3.5,0.0,875.7583,841.76855,843.833,843.833,875.4619,875.4619,875.4619,875.4619,844.1914,10.0,2048.0,1482.5594,0.0,-0.15427929,-0.9880273,-0.54463905,-0.83867055,0.0,0.0,0.0
3.5,0.059011996,552.84033,543.1929,549.103,550.18555,551.20264,552.3623,552.5239,552.5249,542.501,30.0,2048.0,1582.0554,0.00040617384,-0.15542881,-0.9878471,-0.56784374,-0.8231364,0.0,0.0,0.0
3.5,0.07299703,606.60547,584.22266,597.59766,598.09033,599.2173,601.4165,603.7544,603.7539,582.3589,40.0,2048.0,1646.846,0.0008123477,-0.15657812,-0.9876656,-0.5906057,-0.8069603,0.0,0.0,0.0
3.5,0.040481985,737.5386,710.13086,719.57275,721.99316,725.6699,734.04297,734.18506,734.1846,708.2451,50.0,2048.0,1688.5393,0.0012185215,-0.15772721,-0.9874827,-0.61290705,-0.790155,0.0,0.0,0.0
3.5,0.306398,1449.6704,1416.5405,1430.5986,1439.2358,1443.1938,1444.1211,1445.1167,1448.0537,1412.604,70.0,2048.0,1815.2283,0.0016246954,-0.15887609,-0.98729855,-0.6347305,-0.77273357,0.0,0.0,0.0
3.5,0.495368,1217.1777,1170.5352,1198.7744,1201.2119,1212.313,1213.6279,1215.3438,1216.54,1166.3936,80.0,2048.0,1826.4475,0.0020308692,-0.16002476,-0.987113,-0.656059,-0.7547096,0.0,0.0,0.0
3.5,0.383648,3596.9993,3529.806,3568.727,3574.962,3588.783,3593.4292,3594.4143,3596.4941,3535.6965,100.0,2048.0,1830.5762,0.002437043,-0.16117321,-0.98692614,-0.67687595,-0.7360971,0.0,0.0,0.0
3.5,0.36901098,1609.0293,1527.2661,1571.459,1583.5049,1595.752,1599.02,1607.0391,1607.603,1527.9712,109.99999,2048.0,434.3726,0.002843217,-0.16232143,-0.9867379,-0.69716513,-0.7169106,0.0,0.0,0.0
3.5,0.36901098,1772.3491,1664.2197,1746.6084,1749.6655,1765.4609,1767.8203,1769.4033,1769.815,1673.5708,120.0,2048.0,439.41068,0.0032493907,-0.16346945,-0.9865484,-0.7169106,-0.69716513,0.0,0.0,0.0
3.5,0.259239,2010.6309,1920.6714,1956.7744,1970.206,1990.8291,1997.8818,2000.8711,2002.7891,1917.7842,130.0,2048.0,440.82382,0.0036555645,-0.16461724,-0.9863575,-0.7360971,-0.67687595,0.0,0.0,0.0
