c,cpu_limit,cpu_usage,lat100_ms,lat50_ms,lat66_ms,lat75_ms,lat80_ms,lat90_ms,lat95_ms,lat98_ms,lat99_ms,n,ram_limit_mb,ram_usage_mb,t_norm,sin_day,cos_day,sin_hour,cos_hour,is_gap,time_since_last_obs,time_to_next_obs
1.0,2.0,0.0,107.28,31.0,34.0,35.76,37.0,42.0,48.0,62.76,79.52,100.0,768.0,37.897503,0.0,-0.43228248,-0.9017382,-0.9645574,-0.26387304,0.0,0.0,0.0
6.0115623,1.9847844,0.017967746,634.438,642.3025,591.0029,445.0315,616.31006,585.94165,617.24805,651.69604,673.5117,168.27515,418.91656,41.162354,5.1770552e-05,-0.43254477,-0.90161246,-0.96637607,-0.2571328,1.0,1.0,4.0
8.288731,1.9886029,0.019657776,908.0657,872.3635,848.3518,754.3877,903.5593,847.5486,902.9717,916.2031,948.8662,148.3247,355.96494,42.624626,0.000103541104,-0.43280703,-0.9014866,-0.96814764,-0.25038,1.0,2.0,3.0
10.494156,1.9850032,0.018872939,1133.842,1119.2834,1075.6027,1016.822,1152.0193,1062.8176,1129.383,1127.9412,1179.1405,139.42383,376.7303,43.436157,0.00015531166,-0.43306923,-0.90136063,-0.969872,-0.24361502,1.0,3.0,2.0
11.988583,1.9890957,0.017128065,1251.301,1191.3931,1187.7448,1142.7698,1225.2538,1209.7659,1264.7762,1255.0316,1313.4476,130.42877,389.30365,43.61643,0.00020708221,-0.43333143,-0.9012346,-0.9715491,-0.23683815,1.0,4.0,1.0
11.0,2.0,0.0,1231.9999,1140.9999,1150.9999,1161.0001,1227.0001,1232.0,1231.9998,1232.0,1232.0,100.0,512.0,43.077633,0.00025885276,-0.43359354,-0.90110856,-0.97317886,-0.23004974,0.0,0.0,0.0
15.173397,1.9888949,0.022248909,1639.63,1575.483,1584.3081,1543.0364,1639.9169,1619.0251,1660.8062,1661.8113,1692.4741,125.08826,529.4313,45.16364,0.00031062332,-0.43385565,-0.9009824,-0.9747612,-0.22325012,1.0,1.0,4.0
17.459288,1.9848597,0.024186328,1832.0206,1809.9751,1795.3175,1763.1876,1879.232,1831.9817,1859.752,1855.563,1902.6405,111.899536,630.32214,45.996933,0.00036239388,-0.43411773,-0.90085614,-0.976296,-0.21643962,1.0,2.0,3.0
19.684755,1.9868846,0.02582778,2041.5682,2005.8387,2006.7814,1973.947,2087.7617,2021.9948,2061.5708,2062.6116,2103.4097,103.63953,762.2346,46.077904,0.00041416442,-0.43437976,-0.90072984,-0.97778326,-0.20961857,1.0,3.0,2.0
21.265383,1.9816625,0.02605825,2163.6323,2130.482,2121.8557,2103.4863,2197.2017,2137.2583,2170.853,2163.5415,2213.8467,106.00946,870.5846,45.81932,0.00046593498,-0.43464175,-0.9006034,-0.97922283,-0.2027873,1.0,4.0,1.0
21.0,2.0,0.011293009,2385.0,2081.0,2083.0,2084.0,2384.0,2384.0,2384.0,2385.0,2385.0,100.0,1024.0,44.003326,0.0005177055,-0.4349037,-0.900477,-0.98061466,-0.19594614,0.0,0.0,0.0
23.471188,1.9878259,0.028744802,2470.1274,2360.0762,2391.3613,2379.61,2477.2222,2456.8005,2487.1897,2475.9788,2521.1665,114.854675,719.83325,45.657097,0.0005694761,-0.4351656,-0.9003504,-0.9819587,-0.18909544,1.0,1.0,4.0
25.31543,1.9810479,0.028796397,2622.4436,2534.1323,2551.904,2530.8542,2627.579,2606.6782,2606.6016,2603.3054,2668.5166,108.00873,523.29395,46.0565,0.00062124664,-0.43542752,-0.9002238,-0.9832549,-0.18223552,1.0,2.0,3.0
26.830992,1.9801013,0.028968967,2742.0935,2672.282,2687.405,2656.733,2753.1765,2724.5688,2733.1726,2721.5073,2792.7996,105.19403,402.68503,46.304367,0.0006730172,-0.43568936,-0.9000971,-0.9845032,-0.17536673,1.0,3.0,2.0
28.698189,1.9889134,0.029464066,2850.2915,2711.5505,2788.736,2770.994,2827.4944,2836.0364,2863.5903,2827.162,2891.475,113.05902,306.55627,46.19533,0.00072478777,-0.43595117,-0.89997035,-0.98570347,-0.16848938,1.0,4.0,1.0
31.0,2.0,0.01893001,2897.0,2812.0,2848.0,2896.0,2896.0,2897.0,2897.0,2897.0,2897.0,100.0,128.0,45.338623,0.0007765583,-0.43621293,-0.89984345,-0.98685575,-0.16160382,0.0,0.0,0.0
32.63956,1.9867041,0.029135197,3165.0215,3060.49,3134.1702,3093.6348,3148.0322,3140.7375,3169.361,3160.5251,3194.1794,103.08264,283.20886,46.61517,0.00082832883,-0.43647468,-0.89971656,-0.98795986,-0.15471038,1.0,1.0,4.0
33.826283,1.978319,0.026513264,3253.0986,3194.4856,3240.6523,3205.2417,3286.1567,3259.8381,3266.5715,3245.0413,3308.355,100.0,393.10046,47.047527,0.0008800994,-0.43673638,-0.89958954,-0.9890159,-0.14780942,1.0,2.0,3.0
35.460175,1.9815674,0.026438773,3370.907,3331.36,3371.7588,3329.11,3409.877,3376.122,3379.4536,3346.6753,3406.9587,100.0,501.34973,47.497948,0.00093186996,-0.43699804,-0.89946246,-0.9900237,-0.14090124,1.0,3.0,2.0
38.141884,1.9858029,0.024940819,3523.7642,3444.7693,3527.7769,3473.6697,3523.6401,3494.1565,3512.343,3487.3555,3527.7524,100.0,620.49835,47.52014,0.0009836406,-0.43725964,-0.8993353,-0.9909832,-0.13398619,1.0,4.0,1.0
41.0,2.0,0.018091,3590.0,3511.0,3584.0,3585.0,3585.0,3587.0,3588.0,3588.0,3590.0,100.0,768.0,46.731262,0.001035411,-0.43752125,-0.89920807,-0.9918944,-0.12706462,0.0,0.0,0.0
41.739388,1.9917977,0.027862504,3854.2788,3816.34,3874.8696,3825.2542,3859.0474,3862.576,3833.5415,3822.524,3863.5835,100.0,790.4075,47.65515,0.0010871816,-0.4377828,-0.89908075,-0.9927573,-0.12013684,1.0,1.0,3.0
43.48406,1.9804286,0.02818998,4041.8652,4025.726,4104.506,4039.1855,4112.1396,4075.9785,4068.689,4022.7256,4067.5364,100.0,799.34424,47.93171,0.0011389522,-0.4380443,-0.8989534,-0.9935719,-0.11320321,1.0,2.0,2.0
46.75868,1.9802636,0.02843538,4289.379,4231.1606,4293.4053,4252.4014,4311.427,4241.3364,4255.964,4227.407,4263.355,100.0,871.96246,47.72835,0.0011907227,-0.4383058,-0.89882594,-0.9943379,-0.10626407,1.0,3.0,1.0
51.0,2.0,0.024195999,4543.0,4508.0,4541.0,4541.0,4542.0,4542.0,4543.0,4543.0,4543.0,100.0,1024.0,46.866432,0.0012424933,-0.43856722,-0.8986984,-0.99505556,-0.09931975,0.0,0.0,0.0
40.34488,1.99002,0.033306256,3800.6343,3772.6248,3756.427,3749.4343,3794.5305,3762.6611,3777.8774,3738.8467,3768.1487,125.215576,816.9964,48.34653,0.0012942639,-0.43882862,-0.8985708,-0.9957247,-0.092370585,1.0,1.0,4.0
